yy;mm;dd;aeronautica_6827;aeronautica_6828;aeronautica_6856;aeronautica_6869;aeronautica_6874;aeronautica_6881;aeronautica_6883;aeronautica_6891;aeronautica_6919;aeronautica_6923;calabria_146;calabria_7;calabria_34;calabria_127;calabria_140;calabria_191;calabria_196;calabria_212;calabria_213;calabria_246;calabria_294;calabria_386;sicilia_11806;sicilia_11807;sicilia_11839;sicilia_11842;sicilia_11843;sicilia_11857;sicilia_11864;sicilia_11876;sicilia_11888;sicilia_11933;sicilia_13881;aeronautica_6812
1971;1;24;9.6;0;0;0.2;0;0;0;0;1.2;0.6;0;0;0;0;0;0;0;0;0;2.2;1;0;0.2;0;5;12;0;0;0;0;0;0;0.2;NA
1971;1;25;10;4.6;0;0.4;0;6.8;0;0;0;0;0.8;0.8;0.2;0.6;2;1.7;2.4;2;0.4;9;4.3;0.4;0.2;0;8;0;3.2;0;3.1;0.2;0;0;0;NA
1971;1;26;1.2;0;2.2;0.4;0;0.4;0;0;0;0;0.7;6.3;11.5;0;4.6;0;0.2;0;0;0;2;1.2;0;0;4.5;0;0;0;0;0;0;0;0;NA
1971;1;27;0;6.6;0;0;0;0;0;0;0;0;0.2;0;6;0;0;0.4;0.6;2.4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;NA
1971;1;28;0;5.4;0.1;0;0;0;0;0;0;0;0;0.2;2.1;0;1.2;0;0;0;0;0;0;0.8;0;0;0;8;0;0;0;0;0;0;0.2;NA
1971;1;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
1971;1;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;NA
1971;1;31;0;0;0;0;0;0;0;0;0.6;1.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
1971;2;1;12;0.4;0.4;3.2;4.2;0.2;0.4;0;1.8;3.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;13.2;NA
1971;2;2;1.6;24.4;8.4;0;0.2;15.8;0.4;0;3;2;7.8;8.3;12.1;2;16;2;6.5;12.2;17.7;13.5;14;3;11.6;7.6;10.6;2;2.4;0;1.8;6.8;1;7.8;7.8;NA
1971;2;3;0.4;0;0;0;0;2.6;0;0;1.6;0.2;0;4.7;1;0;0;5.7;15.2;8.5;6;9.3;11.4;0;1.2;5.4;7.3;0;0;0.2;0;2.4;0;2.6;1.6;NA
1971;2;4;0;2.8;1.8;0.2;3.4;14.8;3;0;0.8;0.2;0;0;0;0;0;0;4.1;1.1;11;3.7;0;0;2.8;0.2;23;5;0;0.2;0;2.2;0;2.4;1.2;NA
1971;2;5;0;0.1;0.1;3.2;0.4;2.8;2.2;3;0;0;5.2;6;1.5;21;4.4;9.5;4.1;9.1;5.9;5.1;9;2.1;22.6;30;18.5;0;2.8;0;0;0.6;3.8;24.4;9.8;NA
1971;2;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;2.2;2.2;0;0;0;0;9.5;5.2;2.4;8;1.4;NA
1971;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;NA
1971;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA
1971;2;9;0;0;0;0;0;0;0;0;0;1.6;0;0;0;0;0;0;0;0;0;0;0;0;5.6;0;0;0;0;0;0;0;0;0;0;NA
1971;2;10;0;0;0;0;0;0;0.1;4.2;0.2;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;2.6;0;0;2.4;0;11.2;0.2;0;3.2;3.2;NA
1971;2;11;0;0;0;0;4;1.4;0.4;8;0;0.1;0.3;0;0;0.8;0;21;12.3;21.9;39;0.6;0.6;0;3;3.6;0;3.1;1;0;21.4;1.8;17.2;2;2.2;NA
