yy;mm;dd;14158_1;14246_1;14271;9573;9317;14444;9068;9101;9167;9177;9191;9192;9230;9244;9287;9289;9310;9404
1961;5;29;3.4;3.4;2;1.6;5.2;1.3;NA;1.5;NA;3.6;NA;NA;6;0.4;0;NA;NA;1.2
1961;5;30;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;5;31;0;0;1.6;5;0.2;0;NA;0;NA;0;NA;NA;8;0;0.3;NA;NA;1.4
1961;6;1;0;0;0.2;2;1;9;NA;1.2;NA;1;NA;NA;4;2.2;1.2;NA;NA;0.2
1961;6;2;1.6;1.6;0.2;0;0.8;28;NA;0;NA;3;NA;NA;3;0.7;0;NA;NA;1.2
1961;6;3;0.6;0;0.4;0;7.2;0;NA;0;NA;0.2;NA;NA;0;0;0;NA;NA;0
1961;6;4;7.4;5.8;1.2;14.4;19.4;14;NA;1;NA;7.8;NA;NA;2;8.3;7.3;NA;NA;2.8
1961;6;5;0;0;0;0;0;0;NA;0;NA;0;NA;NA;1;0;0;NA;NA;0
1961;6;6;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0.8
1961;6;7;0;0;12.2;2.2;8.6;0;NA;5.8;NA;8.2;NA;NA;4;0;0.9;NA;NA;0.2
1961;6;8;0.8;1;10;23;0.2;0.6;NA;10;NA;3.8;NA;NA;16;0.8;1;NA;NA;4.4
1961;6;9;0;0;0;0.6;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0.2
1961;6;10;0;0;1.4;5.6;1.8;0;NA;0;NA;0;NA;NA;10;0;0;NA;NA;5.8
1961;6;11;4;3.2;7.4;5;4.8;1;NA;7.3;NA;7;NA;NA;9;14.2;8.6;NA;NA;2.8
1961;6;12;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;6;13;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;6;14;0;0;0;0;0;0;NA;0;NA;0;NA;NA;6;0;0;NA;NA;0
1961;6;15;0.4;0;1.4;0;3;0;NA;0;NA;0;NA;NA;0;0.4;0;NA;NA;4.2
1961;6;16;6.4;0;0;0;0;0;NA;2.1;NA;0;NA;NA;10;0;0.3;NA;NA;0
1961;6;17;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;6;18;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;1.1;0;NA;NA;0
1961;6;19;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;6;20;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;6;21;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;6;22;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;6;23;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;6;24;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;6;25;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;6;26;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;6;27;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;6;28;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;6;29;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;6;30;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;7;1;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;7;2;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;7;3;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;7;4;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;7;5;0;0;0.8;0;0;0;NA;0;NA;0.2;NA;NA;0;0.3;0;NA;NA;0
1961;7;6;0;0;0;8;0;0;NA;0;NA;1.4;NA;NA;7;0;0;NA;NA;1.2
1961;7;7;9.8;2.4;0.2;0;0;7;NA;0;NA;0;NA;NA;9;0;0;NA;NA;0
1961;7;8;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;7;9;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;7;10;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;7;11;0.6;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0.4;NA;NA;0
1961;7;12;0;4;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;7;13;0;0;5.2;2.2;0.8;0;NA;3.1;NA;0.4;NA;NA;0;0;4.9;NA;NA;0
1961;7;14;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;7;15;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;7;16;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;7;17;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;7;18;5.8;0.6;27.4;6.4;22;22.3;NA;9.2;NA;1.2;NA;NA;7;12.3;4.8;NA;NA;4
1961;7;19;0;0;0;0;0;0;NA;0;NA;6.6;NA;NA;0;0;0;NA;NA;0
1961;7;20;0;0;0;2;0;0;NA;0;NA;0;NA;NA;5;0;0;NA;NA;1
1961;7;21;28.6;9.6;0;0;3.8;4;NA;0;NA;6;NA;NA;0;6.1;0;NA;NA;0
1961;7;22;0;0;0;0;0;0;NA;1.5;NA;0;NA;NA;8;0;0;NA;NA;1.2
1961;7;23;37.4;17.6;3.2;3;46;10;NA;0;NA;1.4;NA;NA;0;9.4;3;NA;NA;1
1961;7;24;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;7;25;0;1;0;0.4;0;1.3;NA;0;NA;0;NA;NA;12;0;0;NA;NA;0.2
1961;7;26;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;7;27;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;7;28;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;7;29;2.6;0.6;17.6;10.2;15.4;0;NA;0;NA;0;NA;NA;4;0;6.2;NA;NA;11.2
1961;7;30;11.6;25;31.4;21;25.2;28.1;NA;60.3;NA;6.2;NA;NA;18;14.2;13.8;NA;NA;5.6
1961;7;31;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;8;1;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;8;2;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;8;3;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;8;4;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;8;5;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;8;6;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;8;7;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;8;8;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;8;9;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;8;10;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;8;11;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;8;12;0;0.2;0;0;0;1.5;NA;0;NA;0.2;NA;NA;0;0;0;NA;NA;0
1961;8;13;0;0.2;0;0;3.6;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;8;14;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;8;15;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;8;16;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;8;17;3;0.8;0;0;6.2;2.3;NA;2;NA;9.4;NA;NA;9;2.8;8.2;NA;NA;5.4
1961;8;18;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;8;19;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;8;20;0;0;0;0;0;0;NA;0;NA;0;NA;NA;13;0;0;NA;NA;0
1961;8;21;1.8;0;13.8;0.4;2.2;0;NA;4.7;NA;0;NA;NA;0;1.3;0;NA;NA;0
1961;8;22;0;0;0;2.4;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;8;23;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;8;24;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;8;25;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;8;26;0;0;0;0;0;0;NA;0;NA;0;NA;NA;8;0;0;NA;NA;0
1961;8;27;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;8;28;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;8;29;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;8;30;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;8;31;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;9;1;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;9;2;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;9;3;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;9;4;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;9;5;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;9;6;32;9;13;19.6;13.8;10.8;NA;7.2;NA;4.2;NA;NA;36;10.4;13.2;NA;NA;19.4
1961;9;7;0;2;0;0;0;0.4;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;9;8;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;9;9;5.8;2.4;4.4;1.8;8.6;6;NA;0;NA;8.6;NA;NA;0;6.2;4.9;NA;NA;3
1961;9;10;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
1961;9;11;0;0;0;0;0;0;NA;0;NA;0;NA;NA;0;0;0;NA;NA;0
