yy;mm;dd;375;333;240;239;265;273;275;276;278;281;282;283;285;288;289;324;329;334;348;352;377;380;388;434
1961;2;6;NA;0;0;NA;NA;0;0;0;0;0;0;0;0;NA;0;0;NA;0;0;0;0;0;1.6;0
1961;2;7;NA;0;0;NA;NA;0;0;0;0;0;0;0;0;NA;0;0;NA;0;0;1;0;0;0;0
1961;2;8;NA;0;0.4;NA;NA;0;0;0;1.7;4.8;9.4;7.4;0;NA;0;0;NA;0.2;13.2;0;3.6;12;8.2;0
1961;2;9;NA;0;0;NA;NA;0;0;0;0;6;0.4;0;0;NA;0;0;NA;0;0;0;0;0;0;0
1961;2;10;NA;0;0;NA;NA;0;0;0;0;0;0;0;0;NA;0;0;NA;0;0;0;0;0;0;0
1961;2;11;NA;0;0;NA;NA;0;0;0;0;0;0;0;0;NA;0;0;NA;0;0;0;0;0;0;0
1961;2;12;NA;0;0;NA;NA;0;0;0;0;0;0;0;0;NA;0;0;NA;0;0;0;0;0;0;0
1961;2;13;NA;0;0;NA;NA;0;0;0;0;0;0;0;0;NA;0;0;NA;0;0;0;0;0;0;0
1961;2;14;NA;0;0;NA;NA;0;0;0;0;0;0;0;0;NA;0;0;NA;0;0;0;0;0;0;0
1961;2;15;NA;0;0;NA;NA;0;0;0;0;0;0;0;0;NA;0;0;NA;0;0;0;0;0;0;0
1961;2;16;NA;0;0;NA;NA;0;0;0;0;0;0;0;0;NA;0;0;NA;0;0;0;0;0;0;0
1961;2;17;NA;0;0;NA;NA;0;0;0;0;0;0;0;0;NA;0;0;NA;0;0;0;0;0;0;0
1961;2;18;NA;0;0;NA;NA;0;0;0;0;0;0;0;0;NA;0;0;NA;0;0;0;0;0;0;0
1961;2;19;NA;0;0;NA;NA;0;0;0;0;0;0;0;0;NA;0;0;NA;0;0;0;0;0;0;0
1961;2;20;NA;0;0;NA;NA;0;0;0;0;0;0;0;0;NA;0;0;NA;0;0;0;0;0;0;0
1961;2;21;NA;0;0;NA;NA;0;0;0;0;0;0;0;0;NA;0;0;NA;0;0;0;0;0;0;0
1961;2;22;NA;0;0;NA;NA;2.6;10.5;4;6.8;1;0;1.4;0;NA;0;0;NA;0;7.4;1.6;0;0;5;0
1961;2;23;NA;0;0;NA;NA;4.6;5.7;4;0;0.4;0;3;0;NA;0;0;NA;0;0;0;0;0;0;1.4
1961;2;24;NA;0;0;NA;NA;0;0;0;0;0;0;0;0;NA;0;0;NA;0;0;0;0;0;0;0
1961;2;25;NA;0;0;NA;NA;0;0;0;0;0;0;0;0;NA;0;0;NA;0;0;0;0;0;0;0
1961;2;26;NA;0;0;NA;NA;0;0;0;0;0;0;0;0;NA;0;0;NA;0;0;0;0;0;0;0
1961;2;27;NA;0;0;NA;NA;0;0;0;0;0;0;0;0;NA;0;0;NA;0;0;0;0;0;0;0
1961;2;28;NA;0;0;NA;NA;0;0;0;0;0;0;0;0;NA;0;0;NA;0;0;0;0;0;0;0
1961;3;1;NA;1;1.6;NA;NA;3.8;7.2;4.2;7;0;0;0.4;7.5;NA;6.6;5;NA;0.9;1.4;1.8;3.8;0;0.6;10
1961;3;2;NA;3.8;5;NA;NA;10.8;18.7;8.6;0;6.2;4.5;7.3;5.2;NA;9.4;3.8;NA;8;8.2;11.6;4;10;1.4;5.2
1961;3;3;NA;0;0;NA;NA;0;0;0;0;0;0;0;0;NA;0;0;NA;0;0;0;0;0;0;0
1961;3;4;NA;0;0;NA;NA;0;0;0;0;0;0;0;0;NA;0;0;NA;0;0;0;0;0;0;0
1961;3;5;NA;0;0;NA;NA;0;0;0;0;0;0;0;0;NA;0;0;NA;0;0;0;0;0;0;0
1961;3;6;NA;0;0;NA;NA;0;0;0;0;0;0;0;0;NA;0;0;NA;0;0;0;0;0;0;0
1961;3;7;NA;0;0;NA;NA;0;0;0;0;0;0;0;0;NA;0;0;NA;0;0;0;0;0;0;0
