yy;mm;dd;9556;14458_1;14158_1;14197_1;14246_1;14271;9573;9317;14415;13063_1;14444;27;28;39;41_3;12653;9013;9041;9051;9054;9068;9071;9101;9119;9121;9167;9177;9189;9191;9192;9230;9233;9244;9276;9287;9289;9310;9328;9404;9578
1961;1;23;NA;0.2;1.2;NA;1.2;1.4;1.2;0;NA;NA;NA;NA;NA;NA;NA;NA;1.2;0;2;NA;NA;0;4.3;0.4;0;NA;0;0;NA;NA;6;0;0.8;2.8;1.6;NA;NA;0;0.2;0
1961;1;24;NA;0.2;0;NA;0;0.6;1.2;0.4;NA;NA;0;NA;NA;NA;NA;NA;0.5;1.2;1.5;NA;NA;0.6;0;0;0.6;NA;0;0.2;NA;NA;4;0.2;0;1.6;0;NA;NA;0.8;0.8;0
1961;1;25;NA;0;0;NA;0;0;0;0;NA;NA;0;NA;NA;NA;NA;NA;0;0;0;NA;NA;0;0;0;0;NA;0.6;3;NA;NA;0;0.4;0;1;0;NA;NA;0;0;0
1961;1;26;NA;4.8;9;NA;2.8;9.2;10;0.6;NA;NA;5;NA;NA;NA;NA;NA;1.4;1.6;12;NA;NA;6.4;14;1.8;3.2;NA;2;2;NA;NA;11;10.4;9.2;9.8;12.6;NA;NA;7.6;9.8;5.5
1961;1;27;NA;0.2;0.8;NA;0;0;13;0;NA;NA;0;NA;NA;NA;NA;NA;0;0;0;NA;NA;1.8;1.4;0;0;NA;0;0.2;NA;NA;0;0.8;0;0.2;1.3;NA;NA;0.2;0;0
1961;1;28;NA;0;0;NA;0;0;0;0;NA;NA;0;NA;NA;NA;NA;NA;0;0;0;NA;NA;0;0;0;0;NA;0;0;NA;NA;0;0;0;0;0;NA;NA;0;0;0
1961;1;29;NA;0;0;NA;0;0.2;0;0;NA;NA;0;NA;NA;NA;NA;NA;0;0;0;NA;NA;0;0;0;0;NA;0;0;NA;NA;0;0;0;0;0;NA;NA;0;0;0
1961;1;30;NA;0;0;NA;0;0;0;0;NA;NA;0;NA;NA;NA;NA;NA;0;0;0;NA;NA;0;0;0.2;0.2;NA;0;0;NA;NA;0;0;0;0;0;NA;NA;0.2;0.2;0
1961;1;31;NA;0.2;0;NA;0;0;0;0;NA;NA;0;NA;NA;NA;NA;NA;0;0;0;NA;NA;0.2;0;0;0;NA;0;0;NA;NA;0;0;0;0;0;NA;NA;0;0.2;0
1961;2;1;NA;0;0;NA;0;0;0;0;NA;NA;0;NA;NA;NA;NA;NA;0;0.2;5.5;NA;NA;0;0;0;0;NA;0;0;NA;NA;13;0;0;8.2;0;NA;NA;0;0;0
