yy;mm;dd;146;181;107;108;111;112;125;127;135;14;140;156;157;160;177;18;184;191;194;196;198;2;20;205;208;212;213;215;217;218;226;239;246;261;263;265;266;281;284;290;292;294;296;299;307;327;338;34;343;345;348;353;380;386;60;64;68;7;71;95
1961;1;15;4.9;8.8;NA;2.6;NA;3.6;4.7;17.4;41.3;NA;14.6;NA;38.7;125.9;2.6;0.6;NA;4.8;73.5;13.2;NA;1.4;2.5;8.6;17.1;26.6;20;13;4.3;7.3;9.8;NA;10.5;68.6;46.4;38.6;14;56.2;20.2;3.7;5.4;3.3;0.4;2.7;57;NA;6.8;5.6;0.4;0;0.2;2.6;3.4;5;39.8;15.2;8;1.2;NA;34.4
1961;1;16;19.2;35.6;NA;20.8;NA;24.8;54.9;60.5;134.7;NA;39.4;NA;63.5;79.6;18.8;29;NA;39.4;103.9;29.2;NA;44.2;26;25.6;34.4;18.8;18.8;56.3;6.6;36.3;33.7;NA;10.3;31.8;37.4;44;19;45.1;39.2;27.7;19;37.7;36.2;18.3;48.6;NA;44.4;55.3;34.3;32.8;27.2;47.4;45.8;54.4;73;61.2;36.5;29.2;NA;62
1961;1;17;0.4;0;NA;1.1;NA;3.3;0.2;0.2;0;NA;0.6;NA;1.3;4.6;1;1.3;NA;2.2;5.7;3.8;NA;0.2;1.4;0.8;9.6;2.6;0.8;0.4;3.4;0.5;2.5;NA;11;23.6;6;4.2;8.6;4.8;14.8;6.2;8.8;7.8;4;2;13;NA;0.6;0;0.6;1.6;0.8;0.8;0.4;0.5;16.1;7;7;0.2;NA;12.7
1961;1;18;3.7;1.6;NA;0;NA;0;0;0;1.4;NA;1.2;NA;8.5;9.4;0.2;0.8;NA;2.1;3.5;2.6;NA;8.4;0.6;7.6;28;2.8;2.6;1.6;2;0.3;0.2;NA;20.8;52;18.6;34;56.4;19.6;20.8;5.8;9.8;7.8;6.9;17.4;12.8;NA;2.2;2;11.8;7.6;3.3;0.2;0;0;0;0;0;7;NA;4.4
1961;1;19;0.8;5;NA;0;NA;0;0.2;0.2;0;NA;0;NA;1.2;4.6;1.8;0;NA;3.9;6.2;8.6;NA;0;0;4.4;10.4;4.8;10;6.5;10;5.7;2.5;NA;16.2;10.8;6;8.4;12.5;2.8;21.8;0.2;16.8;17.6;0.7;1.4;12.4;NA;0.2;0;0.2;0;0;0;0;0;0.4;0.2;0.2;0;NA;2
1961;1;20;0;0;NA;0;NA;0;0;0;0;NA;0;NA;0;0;0;0;NA;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0.2;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;NA;0
1961;1;21;0;0;NA;0;NA;0;0;0;0;NA;0;NA;0;0;0;0;NA;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;NA;0
1961;1;22;0;0;NA;0;NA;0;0;0;0;NA;0;NA;0;0;0;0.2;NA;0;0;0;NA;0.2;0;0;0.6;0.2;1;7.2;1;0.7;0.5;NA;0.2;0;6.8;0;0;0;0;0;0;0;0;0;0;NA;0;2.5;1.4;4;0.7;3.6;0;1;0;0;0;1.4;NA;0
1961;1;23;0;0.2;NA;0;NA;0;0;0;0;NA;0;NA;0;0;0;0.2;NA;0.2;1.1;0.2;NA;1.4;0;0;0;0;0;0;0;0;0;NA;0;0;8.6;0;0;0;0;0;0;0;0;0;0;NA;0;0;0.3;0.2;1.1;0;0;0;0;0;0;0.2;NA;0
1961;1;24;19.1;40.4;NA;58.4;NA;58;37;22.3;19;NA;13.8;NA;26.4;22.6;50.1;5.2;NA;17.6;30.4;17.3;NA;0.8;3.5;38.8;84.4;42;23.3;37;6.2;15.8;28.3;NA;19.8;15.2;58.4;37.6;8.6;36.8;23.4;23.1;14.4;10.2;16.2;24.3;24;NA;12.2;0;9.4;5.2;1;0;1.6;1.5;2.2;14.1;15;15.1;NA;22.1
