yy;id;January;February;March;April;May;June;July;August;September;October;November;December
1975;aeronautica_6709;0;0;0;0;0;0;NA;0;NA;0;0;0
1975;aeronautica_6720;0;0.03603316326530612;0;0;0.06666666666666667;0;0;0.06896551724137931;0.03333333333333333;0;0;0
1975;aeronautica_6721;0;0;0;0;0;0;0;0;0;0;0;0
1975;aeronautica_6729;0;0;0;0;0;0;0;0;0;0;0;0
1975;aeronautica_6730;0;0;0;0;0;0;0;0;0;0;0.04;0
1975;aeronautica_6769;0.03333333333333333;0;0;0;0;0;0.034482758620689655;0;0;0;0;0
1975;aeronautica_6771;0;0;0;0;0;0;0;0;0;0.037037037037037035;0;0.038461538461538464
1975;aeronautica_6773;0;0;0;0;0;0;0;0;0;0.06666666666666667;0.06896551724137931;0
1975;aeronautica_6779;0;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA
1975;aeronautica_6782;0;0;NA;0;0;0;0;0.038461538461538464;0.08333333333333334;NA;NA;0
1975;aeronautica_6827;0;0;0;0;0;0;0;0;0;0;0.038461538461538464;0
1975;aeronautica_6828;NA;NA;NA;NA;0;NA;0;0;0.04;0;NA;NA
1975;aeronautica_6841;0;0;0;0;0;0;0;0;0;0.03571428571428571;0;0
1975;aeronautica_6856;0;0;0;0;0;0;0;0;0;0;0;0
1975;aeronautica_6859;0;0;0;0;0;0;0;0;0;0;0.03333333333333333;0.03571428571428571
1975;aeronautica_6881;0;0;0;0;0;0;0;0;0;0.10714285714285714;0;0.034482758620689655
1975;aeronautica_6883;0.07142857142857142;0;0;0;0;0;0;0;0.034482758620689655;0;0.034482758620689655;0
1975;aeronautica_6891;0;NA;0;0;0;NA;NA;0;0;NA;0;0
1975;aeronautica_6919;0;0;0;0;0;0;0;0;0;0;0;0.037037037037037035
1975;aeronautica_6923;0;0.03363095238095238;0;0;0;0;0;0;0;0;0;0.03571428571428571
1975;bolzano_102;0;0;0;0;0;0;0;0;0;0;0.03333333333333333;0
1975;bolzano_150;0;0;0;0;0;0;0;0;0;0;0;0
1975;bolzano_172;0;0;0;0;0;0;0;0;0;0;0;0
1975;bolzano_176;0;0;0;0;0;0;0;0.034482758620689655;0;0;0;0
1975;bolzano_197;0;0;0;0;0;0;0;0;0;0;0;0
1975;bolzano_203;0;0.03363095238095238;0;0;0;0;0.03333333333333333;0;0;0;0;0
1975;bolzano_223;0;0;0;0;0;0;0;0;0;0;0.03333333333333333;0
1975;bolzano_5;0;0;0;0;0;0;0;0;0;0;0;0
1975;bolzano_94;0;0;0;0;0;0;0;0;0;0;0;0
1975;calabria_108;0.07407407407407407;0;0;0;0;0;0;0;0;0.1724137931034483;0.10344827586206896;0
