yy;id;January;February;March;April;May;June;July;August;September;October;November;December
1975;aeronautica_6709;30.07777777777778;46.69166666666666;54.44583333333333;92.43461538461538;119.776;78.7875;NA;71.85172413793104;NA;69.61153846153846;42.32083333333333;29.616
1975;aeronautica_6720;62.50666666666667;63.825;77.79310344827586;80.39285714285714;71.13666666666667;63.55714285714286;37.772413793103446;67.01034482758621;56.64666666666667;93.45862068965518;89.26896551724138;54.34615384615385
1975;aeronautica_6721;59.55;53.94827586206897;63.758620689655174;69.33793103448276;89.47407407407407;75.03928571428571;72.51428571428572;84.77586206896552;62.44074074074074;83.67931034482758;79.60357142857143;54.02962962962963
1975;aeronautica_6729;58.99629629629629;64.184;61.49583333333334;77.152;98.756;108.652;73.488;89.672;71.748;77.8851851851852;92.25;59.715384615384615
1975;aeronautica_6730;66.74814814814815;64.48518518518519;69.57407407407408;67.67407407407407;86.06538461538462;104.75769230769231;68.0962962962963;90.87777777777778;77.47037037037038;80.66071428571429;91.364;62.3
1975;aeronautica_6769;47.79333333333333;48.07931034482759;56.96;54.11379310344827;50.17333333333333;51.06551724137931;55.46206896551724;66.74827586206897;67.99;76.775;73;56.92333333333333
1975;aeronautica_6771;71.03333333333333;72.92962962962963;68.54814814814814;65.27037037037037;54.2;32.65;11.91851851851852;34.15185185185185;57.4037037037037;96.84444444444445;72.60000000000001;64.11923076923077
1975;aeronautica_6773;75.01724137931035;69.69333333333333;75.36551724137931;79.57666666666667;60.57;43.00344827586207;24.041379310344826;56.74666666666667;88.51724137931035;120.01;120.54827586206896;88.56428571428572
1975;aeronautica_6779;56.875;NA;NA;NA;NA;NA;NA;NA;NA;71.97083333333333;NA;NA
1975;aeronautica_6782;75.86206896551724;91.244;NA;102.43461538461538;108.05199999999999;89.72083333333333;67.85833333333333;96.88846153846154;101.4;NA;NA;106.65
