yy;mm;dd;204;201;101;102;103;104;106;108;109;110;118;119;123;124;128;134;142;146;148;151;152;17;176;19;25;29;502;506;602;604;605;606;608;609;610;612;613;614;615;616;617;618;621;701;702;703;705;706;707;708;712;713;714;715;716;718;720;723
1961;1;15;16.799999;9.8;4.8;6.8;23;13.4;8.7;16.5;18.4;14.4;20;13.2;11.4;23;9.6;4;9.6;14.4;13.6;8.2;6.2;10.2;13;13;15.4;6.6;18;15.2;10.6;6.7;8.6;4.6;19.4;11;12;5.2;NA;7.4;NA;16;18.4;13.4;10.5;12.4;8.2;2.8;11;11.5;10.4;11.8;15;21.799999;10.6;5;9.2;13.4;14;2.5
1961;1;16;38.799999;38.599998;12.6;4.8;10;6.8;20.1;17;8;41;57;50.099998;35.799999;45.400002;23.200001;22.799999;50.599998;19.200001;58.400002;25.200001;31;25.4;19.4;43.799999;56.400002;19.799999;6;43;26;67.300003;4.6;51;64.599998;32.799999;32;24.799999;NA;14.4;NA;42.299999;50.400002;29.299999;24.299999;29.799999;4.6;4;38.5;10.4;44.200001;55.400002;12;10.6;18.4;11;74.199997;56.799999;16.6;15
1961;1;17;0.4;4.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0.2;0;0;0;0.8;0;0;0.6;0;0;1;NA;0.8;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.6;0.2
1961;1;18;0;0;0.2;0;0;0;0;0;0.7;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0.4;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0
1961;1;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1961;1;20;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;0;NA;0;0.2;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0
1961;1;21;0.2;8.6;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0.2;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;3;NA;0;NA;0;0;0;0;0;0;0;0;0;0;0.2;0.2;0.6;0;0;0;0;0;0
1961;1;22;1;6.4;0;0;0;0;0;0;0;0.4;0.3;0.1;0;0.6;0.8;0.6;0;1.2;0;0.2;0;0;0;0.2;0;0;0;0.4;5;2.6;0.2;0;2;1.2;1.2;0.4;NA;0;NA;0.8;0.2;0;0;0.2;0;5;0;0;0.2;0.2;0;2.2;0;3;0;0.3;0.6;3.2
1961;1;23;0;0;0;0;0;0.2;0;0;0;0;0;0;0.4;0.2;0;0.2;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0.2;0;0;0.2;0;0.2;NA;0;NA;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0.4;0
1961;1;24;0;0;0.8;0.6;0;1.2;0.7;1;30;1;0.5;2.2;1.4;0.8;0.8;0;0;0.4;0.2;0.8;1.2;0;1.4;0.6;0;0.2;0;1.2;0;0;0.4;1.4;1;0.2;0.6;0.4;NA;0;NA;0;0.2;3.5;2;1.2;0.4;0.2;3;1;3;0.2;2.6;0;2;0;0.4;0;0;0
1961;1;25;0.4;0;0;0;0;0.2;0.5;0;0;0;0;0;0.2;0.4;0;0.2;0.2;1;0.6;0;0.4;0;0;0.2;0;0.4;0;0;2;0.7;0;0.6;0;1;0;0.4;NA;0;NA;0;1;0;0;0.2;0.2;0;0;0;0.2;0;0.4;0.8;0;0;0;0;0.2;0
