yy;aeronautica_6827;aeronautica_6828;aeronautica_6856;aeronautica_6869;aeronautica_6874;aeronautica_6881;aeronautica_6883;aeronautica_6891;aeronautica_6919;calabria_7;calabria_34;calabria_127;calabria_191;calabria_212;calabria_294;calabria_386;sardegna_NU010B535;sardegna_NU034B536;sardegna_SS025B563;sardegna_SS038B556;sardegna_SS068B593;sardegna_CA013B093;sardegna_CA021B076;sardegna_CA035B106;sardegna_CA054B109;sardegna_CA073B050;sardegna_CA085B210;sardegna_CA102B148;sardegna_NU001B431;sardegna_NU021B197;sardegna_NU044B105;sardegna_NU052B015;sardegna_NU074B195;sardegna_NU085B070;sardegna_OR030B156;sardegna_SS013B169;sardegna_SS018B022;sardegna_SS044B149;sicilia_11806;sicilia_11839;sicilia_11842;sicilia_11857;sicilia_11864;sicilia_11876;sicilia_11888;sicilia_11933;aeronautica_6812
1971;1.9822927075979297;2.840830272991278;-1.076620667503243;-1.5772131511374194;-0.4148097386817806;-0.27428197499511064;-2.5699131330342757;-0.932251398409484;-1.3957741177745637;1.2146656905042672;3.093497260279758;-5.305766587993984;-0.9902330689841694;-2.3248655701541523;-1.0474412847075953;0.9692901123276076;1.7533105661108657;0.6035655855416096;-1.5496527286558024;-0.8558877881336837;-0.046769605912970746;1.552870995162083;0.43030559823266046;0.9945282703718341;1.5820061467065365;0.08246687987392498;2.5790523658393774;0.8066796340384847;NA;-1.8140628183113865;3.7756438048120433;5.12156258020301;1.3457367585121496;3.8231653262887395;0.24347452806221348;1.1600877484088947;2.2541814027985048;-0.5249536256381084;-1.1321381769937577;3.233275357718849;-0.26634098214470825;-2.840132834241265;-2.1620098615936403;-1.5311766166465954;-1.8886445891715358;-0.12714693576766578;NA
1972;1.1174217760603309;6.723336183156762;0.7720886478727387;NA;NA;-1.8180182387313746;-2.040620203741346;1.34325880567215;-0.01821104745786961;-1.9200279707210886;0.988458658085527;0.9691950095482582;0.7079018516507496;NA;2.220158766436759;0.07861137929593376;6.0424384036258;0.21904177601779828;0.8274012323086062;1.8737878374455565;-1.1928186731248278;1.1843174237335123;3.159698044866486;-0.7447104771819824;4.141522275738794;4.6412502132072575;0.44739116877733665;3.41507161839821;NA;2.2826000604764918;10.630050663014083;3.6827261022155913;3.1822448936811103;5.663182612373442;-0.09609257150488659;2.360996839317986;1.830507486353504;0.026775697670162302;-1.6458794545031505;4.403645728089218;0.323004527748747;-0.31126354795417654;-1.789036888620668;0.30311152856043666;-2.148340057892872;-1.0348949848200633;1.0892078796086633
1973;1.1704699044025766;3.6094472942678735;-1.2335903644729402;0.21335401304168577;-1.1751082461444673;-2.1429417688095427;-2.2938669569881;2.361626152610926;-1.3741051135669906;-0.11076161249240357;-1.6992029165325686;2.5043663023714657;-0.7995454551408177;NA;0.2971294223631098;2.259164534006393;0.415717973518273;0.5127761118573986;0.8025808895778166;0.0771486491132789;0.3619066016004471;-0.902462960061797;-1.1023320303214845;-0.6607574439138801;0.7159082406510766;0.1422094171873578;-0.19751182945899437;1.6383140426406353;NA;-0.8907083662565922;5.905369079537321;0.763754471009916;-1.7174004963898124;1.9439112470346611;0.06868461209582755;1.8889968393179863;0.14038270149980292;-1.7392393399238228;0.41006754941133217;1.2249420243855162;-2.6558834658048394;2.8261994541599886;1.506533681949902;2.839634355327167;-1.755311255838203;1.4285002406441283;NA
1974;0.9428558925056834;3.909447294267874;1.248631857749281;NA;-0.06822300024282768;-0.2801246716243231;-0.6537894905948427;-2.8884485114010214;2.079891034723815;0.8639060727635162;-5.5445170618467134;-0.7369537107304023;-1.0024062715985487;-2.080256922097229;-2.367183005715141;-0.2504484497638959;1.1975600787814304;2.2101445329100304;0.41665496365189014;0.1890092866225448;-0.7834305304033524;2.0022248684015196;4.451761536929979;2.1766671033698213;-0.36228724807073043;1.1573835465405917;0.03313752119035662;1.3576040859306797;-1.437263565733522;0.14131218168861537;4.332797650965892;2.890464197453685;2.6455161702768546;2.226358359670453;0.5899824645701504;-1.0130031606820147;1.628207376824479;0.7382331875487047;0.07800675054247463;2.1377198021632946;-0.7020897744152403;-0.7728914549309209;-3.473780327711933;0.39663069232350345;-4.3684206102519045;0.3543482922280923;-0.05830455820228142
1975;-1.4682172226221457;-0.9960721862516069;0.015298524415948478;5.50397983131872;-0.9096537006899217;-1.4166196373327722;-1.1927305933517358;0.3307588056721489;-0.8541678375813273;0.23806191691936007;-4.46728881064586;-0.31459775682515456;2.927483733183852;NA;-1.1289135415223193;-0.23327673259217896;-1.6138766210763222;1.3714668201095108;-0.3320406885220235;0.08504338595538385;0.05936653749788334;-0.4069463125302235;-0.5840807569768316;-0.0789392620956999;-2.1469260001232744;-0.45769581853877384;-0.42692981887698345;-0.6721075259868154;-2.4751597405969097;-0.5422404498903335;-0.14396184270499468;2.048510415941081;-0.03860882972314528;-4.104155628618422;1.6877109812641837;-1.006376295010372;0.08248932675860132;-1.0180038186883023;-0.1420961012574331;-0.39492977048627864;-0.6441187599224865;0.78919645715699;3.591655447551121;0.5155540877686384;-1.7073816492129446;-0.4364888864139642;-0.19220237680159258
1976;0.22405813969669452;NA;-0.6008630917456674;3.6233385730005097;-0.473931775556232;0.37526347955034467;3.9742095610884176;1.1531179606017261;1.1659138617650786;1.706746127445676;2.2608109434812924;5.607220424993027;5.551711375460274;7.027447297802112;0.7369968466055337;2.1658709946805494;1.5745477607523153;0.5545459776984707;1.419678219465844;1.6904480265892285;-0.45859714244311967;0.05153546884629456;2.65712982656793;0.5484687465623104;-2.857989919383157;-0.6266744244739018;-0.28640368526673754;-0.9050407960690414;2.9310274740149627;0.9999160777925109;1.1635266229285062;4.308510415941081;1.8483046318153153;-2.731413428290015;0.9356173852050702;-0.2798266900937785;0.7285440771611782;-0.7093309150153981;1.1499381317906252;1.8628528225075822;4.103381240077514;1.301636846955871;4.3449123667571605;1.4258678629198975;3.2997612079299117;4.874137649212571;-0.17833598004045914
1977;-1.5310630724245176;-2.81385779047789;-1.050513441396017;-3.811308389232658;-2.516646707682929;-0.2169486416617783;-2.8189210695422116;-3.7539634165500733;-0.7821192264702157;0.3370941749838767;0.1490085302082882;-1.9390999213273172;-3.61273306898417;-6.885245584228748;-0.4633076405739516;-1.221521246698761;-2.5420598042595053;1.5627205151190733;1.06742419442112;-0.3246057368516331;-0.03875026961822314;0.3728149606793245;3.179866112093377;-1.1748010274489893;-1.8038623396458213;0.040716879873923695;0.43283945859721307;0.19944224776884134;0.531052380615213;1.2850621816886143;0.891083365251605;2.3529641974536837;-0.70707185789216;-0.858766695178165;0.542485517073203;0.916996839317985;-1.3399744413573398;-0.6685340958008581;-2.942435659831286;-1.7108422893399755;-2.4441187599224863;0.19036155711727076;-2.4355774291612082;-0.8904395255941724;-3.850238792070087;-1.9589165772627082;-2.0248946844939004
1978;-1.4646865411543697;-0.4051049445380972;-0.9349236978062745;-2.375810553734822;-2.114082605118826;0.6075157778138784;-0.24747798011131739;-1.7427061066085523;1.1533938908137351;1.9396408642877816;-0.06286121769086961;-0.883287596397345;-3.80416877435246;-0.5832267121637944;-2.2061281533944648;-0.7437817830972282;-1.9577602873512916;2.844869933367697;0.5848741417340815;-1.1662724035182999;0.3686631440270922;2.561559948650455;2.2792469170469367;2.686925953769517;0.11684695106346865;-0.007378358221313164;2.6189961070489414;2.007947001442135;-0.24920735964452945;-0.09831547788585393;-1.1038545229471541;1.911234874145416;1.0078977492242238;-1.6242705711471572;2.172720559808246;-0.7835672632461161;2.4295060781231808;-2.2743042749887588;0.4788535181698972;1.6129049873484789;0.823528298901044;-0.17059787694926953;0.9692597801411171;-0.4385572776013076;NA;0.8660975710112027;-1.3566254537246705
1979;1.6021107712756422;-0.4371436148230359;0.6211464776323226;0.9746129358191027;-0.3303770633487684;-1.7474637931769283;0.6911097946553193;0.7354156684172484;-0.3845797149759633;0.5929456378495939;3.83800283760867;-1.9142552008304232;-2.5624552912063923;-4.892010087782978;-0.5624026631983874;-1.066610065925511;-1.3259486931483924;0.5181489188749424;-2.356383011031655;0.026480405470464596;-1.228763619267795;-1.3695171627326532;-0.2603596751912338;0.1902878522533662;-2.5284777242612053;-0.9139570331695541;-0.4557513676985323;-0.14554990293759573;5.075792640355472;-1.1213424574866444;1.0746923878079961;1.5839818099781446;0.5881082755400122;-2.5988539044804906;1.9211754209193561;-1.1782634346546175;-0.27950385312204595;0.8784326177481336;-1.0996885481496426;NA;-1.568062421894317;-1.3495581215975871;1.317825168241388;-1.4772154615226496;2.385475493644199;-1.664049780641526;1.3433745462753297
1980;1.2970155865052053;-0.7155527057321267;-0.5870049986192818;-0.22090545882972812;-1.4115185025547232;-1.254281974995111;-2.2743535589936883;-2.0817411943278508;-1.1041678375813273;5.735088943946389;6.7080421436536675;1.256418285955597;-3.0023362435873455;-0.5627966046369117;-0.39491603218234417;-0.008044821645981415;3.455238521463478;2.227661971083778;2.6356713570945125;1.001035288789394;4.1877570891410745;0.9397459951620828;0.8355222206906614;1.680208942640741;-0.9869152242612049;-9.497867927432679e-4;0.9316576057569517;0.5150716183982116;0.5561790572172995;2.1485490237938762;0.7438564744953009;1.1424483244378116;-0.413655178037752;5.188229428852841;1.299903099490784;0.9206917545722231;-0.3571172985001976;2.3357165683654184;-1.0367965620869253;-2.5390323345888444;NA;0.30051280038822803;0.2015036519198734;-1.0805121648193534;-3.051182188296501;-1.7404078053328824;-0.5612896328291477
