yy;aeronautica_6827;aeronautica_6828;aeronautica_6856;aeronautica_6869;aeronautica_6874;aeronautica_6881;aeronautica_6883;aeronautica_6891;aeronautica_6919;calabria_7;calabria_34;calabria_127;calabria_191;calabria_212;calabria_294;calabria_386;sardegna_NU010B535;sardegna_NU034B536;sardegna_SS025B563;sardegna_SS038B556;sardegna_SS068B593;sardegna_CA013B093;sardegna_CA021B076;sardegna_CA035B106;sardegna_CA054B109;sardegna_CA073B050;sardegna_CA085B210;sardegna_CA102B148;sardegna_NU001B431;sardegna_NU021B197;sardegna_NU044B105;sardegna_NU052B015;sardegna_NU074B195;sardegna_NU085B070;sardegna_OR030B156;sardegna_SS013B169;sardegna_SS018B022;sardegna_SS044B149;sicilia_11806;sicilia_11839;sicilia_11842;sicilia_11857;sicilia_11864;sicilia_11876;sicilia_11888;sicilia_11933;aeronautica_6812
1998;21;16;19;20;16;30;8;9;NA;35;47;21;18;19;25;22;14;19;18;NA;23;13;17;20;16;7;13;14;16;17;22;22;20;8;15;18;23;19;NA;NA;11;NA;18;18;8;NA;14
1999;29;12;19;15;NA;27;13;15;NA;33;37;23;18;17;13;26;14;21;16;NA;27;21;21;32;13;9;22;21;18;20;30;23;31;18;12;21;17;18;29;14;13;28;17;NA;17;14;8
2000;23;9;14;18;NA;22;14;15;NA;27;25;NA;19;24;NA;20;19;22;19;19;28;17;16;28;8;11;23;19;10;22;21;24;19;11;15;16;12;26;16;23;17;26;16;NA;22;15;12
2001;22;10;13;15;13;27;14;7;8;28;26;NA;19;NA;28;NA;16;18;12;7;22;10;9;16;10;4;15;14;14;12;25;14;16;13;7;15;16;11;17;NA;16;40;12;13;NA;22;7
2002;25;22;24;NA;22;24;13;7;12;17;28;27;20;NA;NA;NA;12;36;24;28;34;18;21;28;12;11;22;22;24;30;30;44;24;16;23;25;28;27;16;13;15;39;13;NA;21;17;11
2003;23;13;15;25;19;25;18;25;18;40;32;26;20;NA;28;28;31;30;18;20;32;26;28;32;27;26;32;32;21;22;43;31;32;35;25;18;28;17;27;NA;24;NA;25;29;NA;26;13
2004;39;19;NA;28;15;31;26;14;28;NA;41;33;30;NA;31;NA;26;31;22;21;31;23;26;37;26;23;30;32;29;31;30;36;30;27;22;19;24;25;26;NA;18;NA;17;19;25;22;9
2005;27;NA;NA;23;18;32;15;9;20;NA;35;18;16;23;32;30;22;36;24;19;27;20;23;29;20;16;22;21;21;26;18;24;32;15;18;21;15;19;30;NA;16;37;24;18;25;14;10
2006;24;NA;NA;20;20;39;9;19;13;NA;NA;18;21;24;NA;20;24;21;10;16;NA;15;22;25;22;12;15;19;19;24;30;30;NA;27;16;14;13;16;17;11;16;35;22;16;29;16;11
2007;20;18;13;NA;12;30;16;15;5;28;33;NA;16;32;30;NA;NA;21;11;NA;26;13;14;27;19;10;17;20;25;20;NA;26;20;25;16;21;22;18;33;16;16;31;NA;18;31;20;3
