yy;anom
1971;0.19543116301768274
1972;1.4393137435989232
1973;0.3540537768969683
1974;0.29462248862126883
1975;-0.2891354065642549
1976;1.505186664723606
1977;-1.0017277891641945
1978;0.07051144031618224
1979;-0.23607443495412658
1980;0.4969184270561615
1981;-0.29514360487663716
1982;0.303838742160206
1983;0.453257390792288
1984;0.35056936499377933
1985;0.7176006403288044
1986;0.11869312202644591
1987;-0.5572668621379399
1988;-0.5039045390014083
1989;-0.9822606135395497
1990;0.07388018200898397
1991;-0.3269404307245467
1992;0.7942105111129363
1993;-0.2654286701503206
1994;-0.697301575190533
1995;-0.6923806989256689
1996;1.0928992055517364
1997;-0.2695154087390026
1998;-1.2902681671067024
1999;-0.8301426376660441
2000;-0.28826620052539426
2001;-1.7849613009749772
2002;-1.052484871895707
2003;0.47640101377699356
2004;0.15927115758562557
2005;-0.8856476419987173
2006;0.2783896286848355
2007;-1.1149930742424143
2008;-0.4441940680618557
2009;0.1355819158558437
2010;-0.3582758730091366
2011;0.04640979573447103
2012;-0.37767472080119097
2013;-0.5428263393549088
2014;-1.4818271255592494
2015;1.6701077888594265
2016;-0.7624679938906899
2017;-0.3437906256500568
2018;0.5157073455232174
2019;-0.32501643874861924
2020;-0.6453821422735997
