yy;aeronautica_6827;aeronautica_6828;aeronautica_6856;aeronautica_6869;aeronautica_6874;aeronautica_6881;aeronautica_6883;aeronautica_6891;aeronautica_6919;calabria_7;calabria_34;calabria_127;calabria_191;calabria_212;calabria_294;calabria_386;sardegna_NU010B535;sardegna_NU034B536;sardegna_SS025B563;sardegna_SS038B556;sardegna_SS068B593;sardegna_CA013B093;sardegna_CA021B076;sardegna_CA035B106;sardegna_CA054B109;sardegna_CA073B050;sardegna_CA085B210;sardegna_CA102B148;sardegna_NU001B431;sardegna_NU021B197;sardegna_NU044B105;sardegna_NU052B015;sardegna_NU074B195;sardegna_NU085B070;sardegna_OR030B156;sardegna_SS013B169;sardegna_SS018B022;sardegna_SS044B149;sicilia_11806;sicilia_11839;sicilia_11842;sicilia_11857;sicilia_11864;sicilia_11876;sicilia_11888;sicilia_11933;aeronautica_6812
1987;291.2;59.4;283.7;80;115.4;385.1;28.4;55.6;46.2;NA;NA;180.2;198.4;185.10000000000002;NA;103.6;87.2;0;179.6;26;209.6;78.2;35;143.6;0;23;111.4;31.8;0;173.4;40.6;222.8;121;0;194.4;89.8;47;28;154;48;35.8;492.8;0;82;109;289.4;118.6
1988;NA;NA;65;73.4;NA;NA;NA;NA;NA;NA;351;326.5;398.4;467.70000000000005;205.3;0;183.6;118.2;49.599999999999994;72.8;69.4;134.4;113;120.1;163.8;25.6;39;0;137.8;145.2;190.60000000000002;262;153.8;314.4;0;142;118.8;65;109.2;NA;71;NA;146;192.2;349.2;76;NA
1989;36.2;0;97.4;33.8;0;115.6;90;36.8;123.19999999999999;NA;NA;0;58;0;36.8;181.1;139.4;115;89.6;116.4;256.2;90.4;122.4;72;112.2;0;73.6;89.4;172.2;154.4;153.6;226.6;43.2;124.4;0;176.8;95.80000000000001;164.4;147.2;36.5;171;NA;213.8;76.6;127.6;NA;172.2
1990;298;46.6;138.6;177.4;143.8;125;212;77.4;128.4;45.2;NA;313;521.2;406.1;118.4;103.3;223.8;201;71.2;24.8;141.6;171.6;194.4;52.6;162.4;131.2;166.6;500.2;135;123.7;143.8;150.8;138;205;143.6;120.2;191.4;73.6;0;35.5;119;276.8;55.6;53.6;339.2;107.80000000000001;22
1991;118.6;106.6;144;92.80000000000001;109;166.7;174.6;109.2;243.8;79;135.2;0;203.7;271.4;166;202.2;280.2;171.4;221.4;182;272.8;301.6;143;215.9;130.4;60.599999999999994;236.6;153.4;125;234.2;190.6;423;84.8;309.2;249.9;240;78.8;279.4;50;281;200.4;93.2;52.2;230.4;132.8;NA;82.6
1992;250.4;26.2;135.8;171.4;152;75.80000000000001;224.1;294.4;177.4;67.2;NA;NA;287.5;448.3;113;0;617.2;171.4;152.2;226;158.8;201.6;227.8;150.4;246;254.8;414.8;166;77.2;281;454.4;160.2;225.2;622;114.8;217.2;99.6;129.2;204.8;73;125.6;0;441.6;71.4;467.2;220.8;0
1993;87.2;100.5;112.80000000000001;213.4;157.6;347;196.6;89;154;116.8;62.8;244;136.7;486.2;140;187.1;97.19999999999999;240.4;64;101;155.8;94.8;76;33.8;453.2;106.4;104.8;38.6;38;84.6;263.8;36.6;30.2;0;106.4;37.2;97.80000000000001;136.2;180.2;84;198.2;NA;NA;74.8;368.2;132.4;0
1994;132.4;29.4;36.2;112.2;91.6;171.2;136.7;107.6;60.6;NA;148.2;0;218.7;200;105;232.1;205.2;123.6;53.2;132.6;138.6;33.2;33.6;0;110.80000000000001;42;36;35;189.2;68;317;106.8;124.2;298.8;37;198.2;138;203.79999999999998;97.19999999999999;66;72.4;NA;38.8;56.6;319.2;98;97.7
1995;253;37.6;76;79;210;142.6;73.8;278.7;130.4;152.4;413.4;44;237.2;296.8;157;80.2;52.6;133.6;57.2;NA;171.6;65.8;141;0;242;46.8;41.4;178.8;128.8;168.6;0;76.4;144;140;33.6;209.8;59.2;96.80000000000001;338.8;96.6;123.6;93.19999999999999;91;175.79999999999998;NA;NA;87.2
1996;229;135.7;371.9;204.6;167.2;671.2;146.8;201.2;253.2;286.40000000000003;692.8;209;508.6;684;266;314.5;685;254.4;NA;NA;318;306.8;258.8;396.8;301.4;124.4;235.2;137.2;266.8;169.6;509.4;285;370.8;782.4;264.8;43.4;109.80000000000001;NA;396.4;80;166.4;725.4;430.4;233.2;394.2;NA;NA
1997;304;180.2;180.2;167.6;190.6;257.8;84.4;177;NA;137.8;432.59999999999997;NA;78.3;126.19999999999999;210;285.2;76;45;NA;NA;88.2;58.4;120.2;110.8;79;133.6;207;239.60000000000002;280.6;62;139.4;35.2;66.6;221.6;34.4;136.8;84.6;NA;191.4;NA;26.8;170.4;184.8;83.2;682;204.4;70
1998;171.8;27.6;266.40000000000003;168.6;223.8;162.2;138.4;0;NA;236.6;515.2;0;107.5;64.2;0;173.10000000000002;55.6;91;161;NA;117.8;44.2;135.6;161.8;139.60000000000002;25.6;65.8;96;102.80000000000001;99;43.6;35.2;46;0;59;114.4;150.8;155.2;NA;NA;181.2;NA;97.4;95.4;227.60000000000002;NA;41
1999;0;0;230.8;89.8;NA;303.2;114;271.9;NA;146.4;158.8;0;43.3;130.1;0;113.6;239;0;60.2;NA;108.6;28.4;66.4;35.6;518.6;84.8;137.4;100.39999999999999;109.2;85;228;39.2;32.8;344.6;62.8;40;82;174.39999999999998;251.4;30;90.8;83.8;316.2;NA;249;83.2;145.2
2000;177.4;92.8;152.8;279.2;NA;214.8;124.9;46.2;NA;148;260.2;NA;856;760;NA;123;43.6;58.4;232.2;25;228.2;84.8;75;248.2;47.2;94.4;110.6;79.6;0;132.8;96;89.8;99.8;0;123.19999999999999;143.4;0;238.4;87.2;166.79999999999998;35.6;150.8;125.6;NA;142;117.2;116.6
2001;119.1;27.6;0;0;36.6;35;145;0;26.8;94.8;70.2;NA;250.8;NA;0;NA;169.6;73.80000000000001;57.8;68.8;100.6;0;0;90.4;53.4;0;0;129.2;113.2;127;112;0;45.8;90;0;123.2;140.6;68;30;NA;63.599999999999994;146.4;0;92.4;NA;64.8;86
2002;194.4;186.6;246.4;NA;89.6;274.3;92;64.8;74;38;0;153.4;132.4;NA;NA;NA;43;237.6;126.2;205.4;71.4;0;162.2;158.6;160.6;105.6;38.4;183;197.8;163.8;0;45;69.2;126;74.4;174.2;200.8;146.4;78;0;89.4;312.2;0;NA;110;146.2;147.6
2003;177.2;127.4;208.60000000000002;302.2;32.2;171.4;342.5;312.4;221.6;137;165.6;233.60000000000002;126.19999999999999;NA;242;143.8;86.6;163;280;67.2;112.80000000000001;196.6;413.2;158;348.8;178.8;124.4;340.6;143.6;243;331.2;186.2;292.40000000000003;325;64.2;201.4;114.4;59.8;100.80000000000001;NA;140.6;NA;124.2;128;NA;144.4;163.2
