yy;abruzzo_2168;abruzzo_2171;abruzzo_2;abruzzo_1112;abruzzo_1961;abruzzo_2135;aeronautica_6773;aeronautica_6779;aeronautica_6841;lazio_240;lazio_275;lazio_282;lazio_285;lazio_289;marche_101;marche_103;marche_108;marche_110;marche_124;marche_128;marche_142;marche_152;marche_502;toscana_10;toscana_12;toscana_20;toscana_25;toscana_68;toscana_75;toscana_106;toscana_121;toscana_148;toscana_198;toscana_221;toscana_289;toscana_291;toscana_298;toscana_349;toscana_767;toscana_860
1988;54;109.600003;70.599998;37.400002;74.400002;214.199999;NA;NA;92.8;123.8;73.6;123.6;104.60000000000001;288.6;50.200001;38.400002;0;69.000002;NA;149.800001;NA;87.4;0;33.6;119.2;0;180.79999999999998;68.1;51.8;56;46;145.6;394;398;95.6;97;96;206.3;142.2;68.6
1989;215;213.000005;299.799999;280.799997;141.60000300000002;308.000005;386.3;248.6;115.4;249.79999999999998;178.8;260.8;0;45.3;135.799999;166.799999;263.799999;204.000002;190.199999;36.400002;NA;246.39999699999998;NA;324.4;146.2;NA;567.6;218.2;43.4;60;202.2;153.8;412.4;637.4;185.2;361.6;152.4;88.4;178.8;268.4
1990;182;261.200001;120.2;313.400002;335.400002;281.800001;804;53.6;414;142;96.19999999999999;212.6;NA;409.2;240.600006;NA;NA;104.000004;NA;87.399997;269;140.800003;378.800016;218;116.4;NA;273.4;175.4;280.6;189.4;204.4;159.2;196.4;335.2;131.6;182.2;112.6;313.3;404.2;140.4
1991;191;166.2;162.4;260.6;250.8;272.2;871.4;198.2;239.6;181.8;162.8;254;89.2;117.8;301.400006;263.800004;114.200005;292.600003;158.200003;209.400004;NA;165.800003;0;411.8;54.8;NA;536.6;328.8;400.6;272.4;337.6;124.19999999999999;NA;410;290.4;311;184.20000000000002;NA;540.8000000000001;326.8
1992;127.8;224.8;206.2;293.2;222.4;131.4;247;309;469.20000000000005;227.4;153.6;304.6;254.2;246.20000000000002;289.400007;33.400002;79.599998;85.400001;73.400002;120.600003;NA;0;252.200005;638;176.6;570.4;691.2;429;439.2;399.2;386.4;239;679.6;609.8;108;351.6;89.19999999999999;411.40000000000003;375.4;239.4
1993;54.2;255.2;31.2;74.6;0;112.2;109.8;280;300.8;251.39999999999998;107.4;91.19999999999999;184;365.4;154.800003;174.39999699999998;120.999999;123.600004;71;33.200001;130.800003;96.799998;167.800004;228;44.2;162.2;308.6;136.2;260.4;184.8;143.8;237;196.60000000000002;307.4;111.6;110.2;108;342;398.6;115
1994;0;198.6;230.6;215.8;229;270.4;NA;311.6;139.39999999999998;35;234;232.2;141.6;38.8;47.799999;211.400001;199.400002;193.800003;186.000002;34.799999;83.000004;208.400004;0;192.8;203.8;91.8;NA;235.4;301.4;102;265;113.6;406.6;NA;35;209.6;102;205.6;278.8;199
1995;64;333.4;65.6;30;177.8;230.6;227.7;248.6;90.19999999999999;103.4;228;115;131;288.4;211.200006;170.800003;174.200005;98.6;60.800001;230.199997;194.999999;158.000006;270.800003;221.2;139.2;66;226;88.2;147.6;NA;77;27.2;79.4;704;91.4;119.8;108.19999999999999;195.2;210.6;294.2
1996;60;287.6;161.8;100.8;69.4;346.4;238.3;416.4;126.80000000000001;223.6;538.8000000000001;240.2;332.5;NA;102.799999;220.400002;204;347.799998;112;183.60000300000002;NA;291.599998;352.600002;423;170.2;199.6;NA;205.4;297.2;291.2;200.8;213.4;1030;534;87.2;237;316.8;399.4;179.6;113.6
1997;114;111.4;0;31.6;240.8;91.2;129.39999999999998;207.2;77.4;166.6;521.8;88;336.4;NA;396.000004;259.400002;97.600003;201.200003;200.400001;167.200003;164.400002;219.40000600000002;437.400005;342.6;109.6;223.4;384.1;211.4;138.8;252.60000000000002;222.1;100.19999999999999;479.8;980.5;122.4;186.6;269.2;843.6;132.6;250.60000000000002
1998;132.4;148.2;35;216.4;96;165.2;0;109;150.2;132;107.6;325;289.8;NA;234.999998;94.400002;91.800003;343.800003;121.6;217.800003;195.40000500000002;260.400003;392.800003;204.60000000000002;101.6;0;405.4;121.80000000000001;39.2;128.4;68.6;94.8;412.4;668.7;76.6;219.60000000000002;0;346.4;82.8;112.4
1999;135.8;449.59999999999997;276.8;375.2;224.4;415.2;104.6;143.5;NA;NA;79;213.4;NA;165;296.600008;213.60000300000002;289.599999;247.600004;324.200001;183.800004;465.200001;334.000003;474.000008;153.6;51.6;0;130.6;NA;NA;170.2;225;NA;642.1;766.9;NA;NA;216.6;645;262.6;34.6
2000;98;298.6;132.2;231.2;159;109.80000000000001;229;102.6;NA;42.2;199.2;214.6;57.4;173.6;226.39999699999998;48.599998;97.799999;41;95.799999;94.400002;89.600003;139.400002;300;NA;NA;NA;NA;NA;NA;NA;NA;236.79999999999998;NA;1117.4;NA;NA;NA;983.2;226;172
2001;34.6;118.8;112.8;0;131.2;127.39999999999999;180.8;133.6;NA;0;0;147.4;96;97.19999999999999;251.200003;194.000004;145.400002;94.4;75.600002;28.800001;0;153;135.200005;292.59999999999997;54.2;219.8;198;187.6;186.6;115;34.6;116.19999999999999;252.6;656.4;99.4;170;NA;298.2;156.2;32.6
2002;25.6;100.4;147.8;260.6;492.79999999999995;164.4;296.6;200.8;43.2;221.2;259.4;76;133.6;152.2;215.20000199999998;181.000004;141.39999799999998;223.799999;NA;64.599998;190.200001;105;182.800007;145.8;135.8;91.6;285.6;184.8;325.6;333.2;224.60000000000002;75.4;NA;634.6;NA;126.6;NA;412.8;149.4;203.8
2003;183.8;340.6;279.6;180.4;528.2;252.6;269.1;137.8;295.6;0;193.4;230;0;189;69.000002;38.200001;NA;130.2;NA;NA;134.60000300000002;33.400002;201.39999799999998;176.6;0;88.19999999999999;176.6;159.2;258;151.4;225.2;NA;617.8;400.4;139.8;67.4;129.2;522.4;73.8;268.6
2004;69;95;207;106.2;318.6;199.4;90.80000000000001;275.8;179.6;175.4;362.8;229.2;168.6;191;137.200001;37.400002;42;121.399997;141.999998;58.400002;497.2;39.599998;309.000005;293.59999999999997;148.4;214.6;310;190.8;304;216.2;0;172.2;444.8;478.2;166;300.8;74.4;324.8;138;NA
2005;73.8;192.6;277.8;344.6;NA;NA;133.8;305;0;170.60000000000002;377;331.4;338.6;233.8;395.20000500000003;259.000005;327.20000400000004;161.800004;129.200001;139.199996;218.400001;308.199997;302.600007;433;290.4;141.8;362.2;509.8;308.2;569.6;156.2;329.8;464;172.2;257.2;321.6;256.8;174.39999999999998;43;280
2006;32.2;112.6;107.2;105.8;NA;NA;222.5;242.79999999999998;NA;117.6;280.8;142.2;54.6;104.2;188.799999;133.60000300000002;287;170.60000200000002;103.2;273.600001;72.200001;335.800004;71.799999;77;74.6;225.20000000000002;330;156.6;334;296.4;213.6;155.6;424;329;221.2;191.8;291.4;NA;242.2;247.4
2007;26.4;66.8;126.60000000000001;43.2;38;NA;69.1;31.8;NA;0;43.4;36.6;40.4;0;30.800001;0;38.799999;240.200001;96.800004;NA;128;0;118.800004;124.19999999999999;0;39;146.8;0;195.8;88.4;38;127.8;63;0;31;53.8;46;NA;NA;NA
2008;NA;267;409.2;69;173.2;255.6;NA;264.1;200;295.6;468.6;295.6;206.2;174.4;87.400001;278.600002;145.600001;306.000001;275.000002;241.400001;228.20000199999998;155.600001;76.4;201;184.6;102.4;182.2;239.8;244.2;263;0;203.6;454.8;1179.8;226.2;491.4;546.8;NA;135.6;199.4
2009;NA;172.8;199.6;146.2;461.8;196.6;NA;186.8;213.1;0;136.6;NA;39.4;80.2;150.400002;135.60000200000002;37.000001;150.400001;228.000001;275.200001;287.000004;141.200001;235.400003;294;83.8;0;197.2;185.6;382.4;217;271.4;99.6;845.8;1352.2;220.4;283.4;325;961.2;86;166
2010;105.2;173.6;103;76.8;174.4;291.2;341;280;244.5;115.2;433.2;517.2;0;42.8;NA;364.200005;NA;NA;NA;NA;NA;NA;NA;553;180.2;127.4;389.4;NA;404;NA;176.4;347;NA;1206.6000000000001;298;508.2;238.6;719;293.2;195
2011;36.2;NA;212.79999999999998;62;163;162.2;51.1;113.1;178;170.6;149.8;172.6;156.39999999999998;248.4;NA;202.800003;130.000002;156.60000300000002;173.400002;191.20000199999998;140.600001;117.80000100000001;NA;98.8;125.2;53;114.80000000000001;103;92.80000000000001;43.2;135;142.8;374.2;528;216.6;173.4;341.2;516.6;34.8;286.8
2012;NA;197.4;220;132.6;229.4;NA;255.3;316.7;195.5;81.8;NA;NA;101.6;147.4;332.400004;311.600003;278.800002;294.600001;378.40000200000003;168.000002;356.4;167.400001;276.000003;360.4;224.20000000000002;147.8;215.6;251;238;217.6;123.4;220.4;363;948.2;298;472.8;354.2;NA;NA;NA
2013;NA;NA;311.6;162.20000000000002;208.39999999999998;225;259.3;312.2;169;230.3;NA;33;221.1;183.6;405.000005;322.600002;267.600001;195.4;430.400005;201.800002;464.400001;250.000001;364.600001;386.4;167.4;88.2;363.6;NA;359.6;238.2;217.8;290;821.4;1166.4;NA;487.8;36;402.8;NA;NA
2014;NA;NA;193.4;156.2;167.8;94.8;368.3;107.5;135.9;406.8;NA;110.30000000000001;222.20000000000002;282.6;NA;385;338.200001;412.20000200000004;218.400003;322.800001;247.600001;488.4;310.200001;263;102.6;182.8;230.2;NA;575.6;460.8;398.2;240.20000000000002;972;1278.4;387.2;559.8;448.2;621.4;NA;NA
2015;NA;NA;345.6;293;544.6;275.2;297.2;136.2;75.7;201.1;328.9;96;45.2;90.3;377.000005;344.40000299999997;NA;156.600002;229.200002;NA;NA;NA;313.000003;141.39999999999998;156;48;284.4;69.80000000000001;177;199.60000000000002;188.8;110;NA;194;46.8;94.6;171.2;230.39999999999998;204.8;194
2016;31.8;0;192.2;99.6;253.39999999999998;69.80000000000001;146.8;363.2;72.1;71.2;188.60000000000002;110.5;133.7;128.1;383.800001;74.8;211.60000200000002;390.000002;306.40000200000003;179.400001;225.800001;NA;116.400001;123.2;366.8;274.6;473.6;359.6;442.2;351.2;292;344.8;638.6;853.4;114.80000000000001;228.2;180.6;343.4;318.2;118.19999999999999
2017;25.8;104.2;535.8;335.8;350.6;378;143.26;162.06;71.12;209.8;100.3;232;233.6;NA;151;211.599998;170.999995;261.800003;258.799996;NA;325.199996;NA;NA;162.2;48.6;209.2;320;214.6;357.2;139.4;336;121.6;388.4;830;NA;42.8;63.8;316.8;236.20000000000002;37
2018;355;530.6;226.4;251.6;225;93;NA;NA;NA;226.6;219.3;263.3;147.60000000000002;339.8;260.399997;148.400002;33;183.40000600000002;126.6;106.200001;310.599999;263.799999;NA;162.8;296.8;138;317.8;313;99;180.8;145;93.19999999999999;186;441.20000000000005;131.4;423;201.4;715.2;100;318
2019;129.4;188.6;157.2;40.2;238.2;250.79999999999998;212.1;380.25;138.94;NA;439.3;415;112.4;210.3;537.4;248.8;354;142.6;121;NA;428.8;235.2;229;478.2;383.6;215;543.2;314.4;223;433.2;353.8;258.8;449.2;1100.6;218;549.2;404.4;707.4;231;372
2020;171.8;332.2;354.8;296.8;376.59999999999997;245;305.05;245.88;121.92;160.3;292.6;NA;74.5;95;182.4;54.6;247.2;42.6;149.6;84.2;NA;87.4;420;488.4;204.2;53.8;392.2;153.8;85;138.8;241.4;248.8;570.8;1001.4;94.6;119.4;128.8;686.5;233.4;45.6
