yy;abruzzo_2168;abruzzo_2171;abruzzo_2;abruzzo_1112;abruzzo_1961;abruzzo_2135;aeronautica_6773;aeronautica_6779;aeronautica_6841;lazio_240;lazio_275;lazio_282;lazio_285;lazio_289;marche_101;marche_103;marche_108;marche_110;marche_124;marche_128;marche_142;marche_152;marche_502;toscana_10;toscana_12;toscana_20;toscana_25;toscana_68;toscana_75;toscana_106;toscana_121;toscana_148;toscana_198;toscana_221;toscana_289;toscana_291;toscana_298;toscana_349;toscana_767;toscana_860
2005;20;40;29;34;NA;NA;20;31;16;35;39;46;30;35;43;35;45;28;32;30;43;34;42;41;28;38;44;36;24;35;31;25;38;40;28;36;25;33;21;30
2006;13;19;15;15;NA;NA;30;15;NA;18;26;29;16;19;25;22;28;23;11;24;27;22;19;21;21;15;31;21;30;23;22;18;42;50;17;21;13;NA;15;16
2007;11;27;20;14;19;NA;17;11;NA;20;23;22;20;20;27;17;24;24;16;NA;30;23;25;25;16;17;32;22;37;17;28;23;45;46;12;24;14;NA;NA;NA
2008;NA;42;27;24;23;39;NA;34;26;34;36;39;29;38;31;27;20;23;24;26;37;24;32;38;24;34;48;33;37;46;30;28;58;65;31;43;31;NA;24;32
2009;NA;37;23;28;43;40;NA;36;25;31;35;NA;29;31;33;13;17;23;23;24;39;16;27;37;25;38;52;31;42;32;32;24;55;68;27;35;32;51;29;24
2010;31;34;20;16;20;43;36;33;31;33;44;56;22;37;NA;33;NA;NA;NA;NA;NA;NA;NA;54;24;48;49;NA;63;NA;53;38;NA;78;31;59;26;64;48;28
2011;12;NA;29;14;28;16;14;12;13;18;22;21;20;24;NA;19;15;20;24;24;23;15;NA;25;13;13;23;23;32;23;23;22;43;54;16;24;15;37;18;17
2012;NA;25;28;17;24;NA;25;29;19;29;NA;NA;27;33;39;27;32;24;32;20;29;29;39;33;18;31;40;29;35;32;18;23;42;48;16;24;14;NA;NA;NA
2013;NA;NA;34;31;36;36;34;33;23;36;NA;36;32;35;40;30;36;37;36;28;45;33;53;56;30;32;53;NA;48;40;16;33;65;80;NA;42;28;62;NA;NA
2014;NA;NA;20;26;25;24;37;31;21;37;NA;45;38;38;NA;37;37;34;33;25;28;36;43;51;26;31;50;NA;48;51;41;34;67;80;29;53;36;56;NA;NA
2015;NA;NA;33;27;29;32;18;23;24;28;28;29;21;32;37;31;NA;33;35;NA;NA;NA;41;32;19;25;40;30;28;27;27;18;NA;40;12;31;20;26;24;25
2016;13;32;24;24;31;34;35;36;11;24;26;34;21;26;38;30;35;31;30;29;43;NA;30;43;35;35;60;36;42;32;31;33;59;59;21;45;20;43;33;33
2017;19;26;30;25;27;32;18;19;12;14;13;27;16;NA;33;27;32;30;32;NA;41;NA;NA;34;17;14;35;20;31;19;25;18;46;48;NA;24;8;36;22;16
2018;30;38;29;32;36;34;NA;NA;NA;38;40;43;31;38;40;30;40;31;25;20;44;27;NA;45;31;23;56;37;41;39;32;28;52;58;25;49;33;44;32;34
2019;23;33;29;19;36;27;35;32;14;NA;41;33;26;39;31;31;36;29;36;NA;41;25;41;46;23;34;50;41;46;37;36;28;57;70;26;44;30;48;38;40
2020;21;28;20;27;30;23;28;33;18;17;28;NA;23;25;41;16;33;25;32;21;NA;19;45;39;23;32;49;32;35;28;39;27;57;55;18;45;25;39;35;33
