yy;abruzzo_2168;abruzzo_2171;abruzzo_2;abruzzo_1112;abruzzo_1961;abruzzo_2135;aeronautica_6773;aeronautica_6779;aeronautica_6841;lazio_240;lazio_275;lazio_282;lazio_285;lazio_289;marche_101;marche_103;marche_108;marche_110;marche_124;marche_128;marche_142;marche_152;marche_502;toscana_10;toscana_12;toscana_20;toscana_25;toscana_68;toscana_75;toscana_106;toscana_121;toscana_148;toscana_198;toscana_221;toscana_289;toscana_291;toscana_298;toscana_349;toscana_767;toscana_860
1971;NA;NA;NA;NA;NA;NA;10.779487179487178;8.02289156626506;7.159375;10.265671641791045;11.5;9.87032967032967;12.021052631578948;9.42340425531915;7.563043499999999;9.009859169014085;7.544318147727273;6.683783783783784;8.187012961038961;7.4809523690476185;8.942056130841122;7.530434797101449;11.000000010752688;9.119101123595506;7.819718309859155;10.453846153846154;10.417021276595746;10.4375;10.820652173913043;11.389247311827958;10.772727272727273;9.1;15.888679245283019;16.683185840707964;8.074603174603174;11.484523809523811;8.265079365079366;14.995652173913042;8.45185185185185;9.127500000000001
1972;NA;NA;NA;NA;NA;NA;8.085714285714287;8.453932584269662;9.129333333333333;9.376106194690266;13.741304347826087;NA;9.375531914893617;8.7315789473684209;7.430088522123894;8.846428616071428;10.05826084347826;8.933944972477065;8.242592592592594;7.794;9.193055597222221;6.927472549450549;10.823015825396826;8.991379310344827;8.739784946236558;11.930588235294119;9.793965517241379;9.73030303030303;10.261946902654866;7.537614678899083;10.898198198198198;8.50989010989011;12.372093023255815;18.3985401459854;8.104;12.071153846153846;8.19047619047619;15.664957264957264;8.449382716049383;8.225242718446603
1973;NA;NA;NA;NA;NA;NA;10.682258064516128;8.4970588235294109;8.067241379310344;9.767164179104478;12.879166666666666;8.6;9.201587301587303;10.23846153846154;9.958;12.671084421686746;11.238541729166668;9.754737;9.68043475;9.847058788235294;11.83551401869159;12.231578960526315;12.37113398969072;10.50952380952381;6.488;14.880952380952381;11.98494623655914;10.184146341463414;10.865882352941176;9.61012658227848;9.525842696629214;9.586842105263159;15.313541666666666;21.44954128440367;9.415384615384616;8.871052631578948;8.28;15.66904761904762;11.266666666666666;8.088524590163933
1974;8.1506849794520555;9.822115354807693;9.617977569662921;8.27317070487805;11.46707312195122;8.031683106930693;7.3890109890109885;8.301149425287356;7.794736842105263;10.982666666666667;13.093506493506494;10.845679012345679;NA;10.712087912087911;8.111578915789474;9.201204831325303;8.620388339805825;7.185882329411764;NA;7.449411811764707;9.368595008264462;6.940000037500001;11.00679613592233;8.14396551724138;8.083333333333334;12.228767123287671;7.8349206349206355;9.013636363636364;9.318181818181818;7.666666666666667;7.9504761904761905;6.465217391304347;12.26030534351145;14.565413533834587;7.865753424657535;10.910638297872339;12.031884057971014;12.264077669902914;8.077777777777778;7.108510638297873
1975;8.014285725974027;10.23106793786408;9.144303789873417;8.176315730263159;9.783132589156628;7.226190517857144;10.647;9.172368421052632;9.268518518518519;11.029870129870131;12.045238095238094;10.344444444444443;11.557534246575344;10.761363636363637;9.092682951219512;9.671232835616438;8.531764658823528;7.301265873417721;8.288095202380953;7.1552940941176475;8.844642866071428;8.938888916666667;11.25800005;9.934693877551021;7.856410256410256;13.768493150684932;10.342592592592593;11.111235955056179;13.064077669902911;11.919318181818182;9.453846153846154;9.44109589041096;19.206363636363633;20.398373983739837;14.895384615384616;11.5;12.06111111111111;16.37735849056604;9.918987341772151;10.383999999999999
1976;7.943000017;9.290066205960265;9.599137946551725;9.226213591262136;11.376521677391304;8.501666675000001;12.013684210526316;9.793684210526315;7.41747572815534;11.678350515463917;9.936792452830188;10.96774193548387;11.321348314606741;11.50909090909091;10.280645193548386;11.822999970000001;12.956410128205128;8.001754385964913;11.090909109090909;9.650909063636364;11.928378391891892;8.817647068627451;14.31578947368421;10.552;8.959615384615384;15.182954545454544;10.824;10.448245614035088;13.465384615384616;10.429126213592234;10.18695652173913;10.181818181818182;16.206122448979592;17.598496240601502;10.877272727272727;11.957377049180327;7.368421052631579;15.818;9.784269662921348;9.658823529411766
1977;7.610126589873417;9.710588216470589;8.136708911392406;8.65799998;7.109375025;7.693137275490196;9.064705882352941;7.676;7.648979591836735;8.666176470588235;12.949382716049383;9.121518987341773;11;9.881578947368421;8.28400001;10.643478260869564;10.357608630434783;8.228947328947369;9.237037061728396;8.1093022906976735;9.064864846846847;8.129577394366196;11.535454490909093;8.352727272727272;6.074;13.35890410958904;8.393548387096773;8.094897959183672;12.236974789915967;9.357142857142858;8.557500000000001;6.682474226804124;16.682706766917295;21.882089552238806;5.342424242424243;12.267961165048543;8.413333333333334;18.609917355371902;7.731313131313131;7.421052631578948
1978;8.238888878703703;9.846511682170542;9.258695604347826;9.682051271794872;12.29156623373494;7.35565218;8.905882352941177;9.498230088495575;9.734210526315788;12.525;11.409615384615384;10.138775510204082;13.259154929577464;11.383673469387753;11.070940213675215;13.083516395604395;10.336752042735043;7.74716983018868;8.980530991150442;NA;10.847014985074626;9.293478304347826;14.530833316666667;10.383050847457627;7.681739130434782;15.498850574712645;11.305263157894736;11.35360824742268;12.476521739130435;9.022033898305084;9.620000000000001;8.337864077669902;20.19193548387097;18.30821917808219;7.612820512820512;11.591803278688525;8.224691358024693;13.413861386138613;7.318181818181818;7.807619047619047
1979;8.127000004000001;10.94374994140625;8.27843135098039;7.845833334375;9.782795707526882;8.439669397520662;10.202970297029703;8.517171717171717;10.916853932584269;12.448421052631579;14.214432989690721;11.041304347826086;12.49375;12.786666666666665;9.446017654867257;13.2387500125;10.887755173469388;7.847916666666666;9.201020408163266;NA;10.809090931818183;11.548718000000001;11.274257396039603;9.488181818181818;9.266666666666666;15.639285714285714;11.171681415929203;12.131067961165048;13.868421052631579;12.219801980198021;10.799173553719008;9.821739130434782;20.16030534351145;25.226027397260275;9.554347826086957;15.483495145631068;11.153749999999999;18.966666666666665;10.324137931034484;10.325000000000001
1980;7.601000001;9.643137260784314;9.219417506796116;6.978787860606061;10.709473643157894;7.562295106557377;8.038709677419355;NA;8.59189189189189;11.827272727272726;12.697727272727274;10.419277108433734;10.705;10.958333333333334;9.706956539130434;12.16931821590909;11.666981188679246;8.060550449541285;9.183486183486238;7.6930693366336635;11.033333325396825;NA;8.369607843137254;10.794827586206896;9.02127659574468;17.242424242424242;12.0099173553719;14.063529411764707;11.932710280373831;11.11264367816092;10.995238095238095;9.91;16.443103448275863;19.464444444444442;10.666666666666666;13.534653465346535;10.024;16.115053763440862;8.75421686746988;10.697727272727272
1981;7.925000004166667;NA;8.017721483544305;7.33513516081081;7.2433735228915666;8.429591829591837;10.264705882352942;NA;6.358904109589041;9.4025;12.748571428571429;10.129545454545454;10.854545454545454;9.65;10.51764705882353;12.779999942857144;10.250000011904762;7.763636386363637;8.586046534883721;NA;10.59074075;9.435616479452055;11.418750010416666;10.874725274725275;7.607228915662651;16.102777777777778;13.479646017699116;12.025;12.659340659340659;12.303614457831326;11.734736842105262;10.756962025316454;13.907070707070707;18.275;9.047058823529412;11.611764705882353;6.526984126984127;14.571428571428571;9.147499999999999;11.42051282051282
1982;6.831168832467532;9.69898985050505;5.563855402409638;6.8820512730769225;7.602531644303798;8.196774223655915;7.25;NA;9.344285714285714;11.139726027397261;9.427027027027027;9.94054054054054;9.616901408450703;8.913253012048193;11.36969695959596;14.092500025000001;16.45176471764706;10.211111122222222;9.279545534090909;NA;8.726605522935781;9.580246913580247;NA;10.385087719298246;9.902702702702703;14.448611111111111;10.994782608695653;9.967391304347826;12.308;9.305882352941177;10.710869565217392;7.986486486486487;15.374561403508773;21.963492063492065;11.644444444444444;12.326086956521738;11.214492753623187;NA;7.428947368421053;11.564102564102564
1983;7.871428572857142;9.035789449473684;8.730120502409639;8.237037038271605;11.436363554545453;10.703614453012047;7.618181818181818;7.166666666666667;7.850793650793651;9.351428571428572;12.868852459016393;9.116455696202532;12.045;9.133333333333333;10.751162709302326;9.437931034482759;10.214705926470588;6.4892307538461544;9.33055551388889;6.09;11.305050545454545;7.628070140350878;9.863414646341463;10.781818181818181;6.764383561643836;18.814814814814813;11.948;12.294520547945206;13.048192771084338;11.706896551724139;9.642857142857142;8.382352941176471;15.628865979381443;19.16;9.761904761904763;11.717808219178082;10.949206349206348;11.956756756756755;9.495522388059703;10.771875
1984;NA;9.978787890909091;8.212121223232323;7.58749997875;9.967619015238094;NA;10.02020202020202;10.326732673267326;10.668888888888889;10.39;12.414150943396228;10.916666666666666;12.554255319148934;12.658;9.372881347457627;10.637113329896907;9.78861793495935;6.582142892857143;6.992380904761905;NA;9.123076937062937;7.165306132653062;NA;9.916393442622951;8.530275229357798;15.851685393258427;11.455882352941176;10.76271186440678;12.056410256410256;11.685436893203883;10.174590163934425;8.872072072072072;15.35813953488372;19.17638888888889;9.844444444444445;12.160377358490566;8.907216494845361;14.120833333333332;9.56078431372549;10.582857142857144
1985;9.091803293442624;10.048351746153847;9.506250046875;8.216216247297297;10.105405372972973;7.57916664375;9.034615384615385;7.276315789473684;11.504000000000001;11.135483870967741;10.247887323943662;9.294594594594594;13.257971014492753;11.215789473684211;8.516483538461538;8.272527516483516;8.352809;NA;7.7285714285714295;NA;10.462962907407407;8.423188376811595;NA;9.365909090909092;6.132307692307693;11.883333333333333;8.922222222222222;10.085915492957747;11.592307692307694;10.830769230769231;8.911111111111111;7.708571428571429;14.416129032258064;17.51186440677966;7.178125;9.848780487804879;7.473333333333333;NA;8.269565217391305;8.08108108108108
1986;8.45500000125;9.7643564821782185;10.071910126966293;9.714285615384616;11.073417502531646;9.092156873529412;11.914634146341463;9.269047619047619;9.553763440860216;12.010843373493975;12.5425;11.685416666666667;10.787671232876713;11.438271604938272;10.695918387755102;9.76;11.053012036144578;9.948648662162162;10.165789539473684;10.286567134328358;NA;8.816666694444443;10.704;11.410204081632653;8.665573770491804;17.349999999999998;10.876106194690266;11.963095238095239;11.160869565217391;9.874666666666666;9.72803738317757;7.034883720930233;13.289719626168225;15.544186046511628;8.617142857142857;8.635294117647058;8.02089552238806;NA;8.564556962025316;9.762025316455697
1987;9.310447758208955;9.963265248979592;7.509333344;10.221951273170731;10.884210494736841;8.510112408988764;12.940506329113923;10.023076923076923;11.346666666666666;10.639024390243902;14.844444444444443;10.432323232323231;11.594444444444443;8.802777777777777;9.68990828440367;9.773737414141415;10.20860211827957;9.545679037037038;9.720481867469879;9.013888833333333;10.677083385416667;8.91282046153846;NA;12.312999999999999;9.518181818181818;18.173214285714288;11.052100840336134;13.09764705882353;12.08;11.127272727272727;11.252941176470587;8.07764705882353;14.86111111111111;18.902380952380952;10.334285714285715;15.301098901098902;12.611940298507463;NA;7.782500000000001;11.6
1988;6.838888879166666;7.93195878556701;7.17078652247191;8.580952403571429;8.77441861627907;9.84130435326087;NA;NA;9.552238805970148;8.911999999999999;9.803076923076924;9.514285714285714;8.736842105263158;10.294736842105262;7.429333346666668;7.145714371428572;6.785263189473684;7.988571457142858;NA;8.136111138888888;NA;7.180000016666667;8.294252873563218;8.380851063829788;7.840000000000001;12.2640625;9.420168067226891;9.071794871794872;10.860759493670885;9.366666666666667;8.572413793103447;9.158904109589042;14.598214285714286;15.681967213114755;7.071186440677966;7.881720430107527;7.5587301587301585;12.124675324675325;9.392;9.650666666666666
1989;9.160526310526315;8.938144395876288;10.051851804938272;10.662921324719102;8.393103451724139;10.430769217582418;12.805555555555555;10.4875;10.001923076923077;11.802985074626864;12.5;10.841860465116278;8.265625;12.701785714285714;10.739999975;9.115384576923077;10.954999987499999;9.808333402777778;9.446753272727273;7.6389611168831175;NA;9.481159318840579;NA;11.724137931034482;8.896774193548387;NA;13.612244897959183;13.13661971830986;10.78048780487805;9.975438596491228;11.043037974683545;8.95;16.32470588235294;19.12545454545455;9.251612903225807;12.644736842105264;9.674509803921568;11.183529411764706;11.03225806451613;11.40967741935484
1990;7.493333341333334;9.353846153846154;8.247368431578948;10.064102567948717;10.761904769841271;8.788764043820224;17.191764705882353;7.336708860759494;11.451948051948051;10.632911392405063;9.639024390243902;10.025;NA;15.853333333333333;9.168539471910112;NA;NA;7.113043576086956;NA;7.103529494117647;9.46727280909091;7.950000097222222;10.640000222222222;8.68041237113402;7.928571428571429;NA;10.492982456140352;8.697777777777777;11.152808988764045;10.302564102564103;9.053191489361701;8.381081081081081;11.290740740740741;16.54285714285714;8.844776119402985;11.96867469879518;8.66;14.01505376344086;13.210958904109589;8.544303797468354
1991;8.467567567567567;9.583636363636364;7.648888888888889;10.578260869565218;8.931818181818182;10.504166666666666;18.045882352941177;8.92258064516129;11.366153846153846;10.578313253012048;12.139024390243902;10.504854368932039;9.290666666666667;9.08095238095238;10.22222237962963;11.391489510638298;9.322916833333334;9.10515475257732;8.5952942;8.94545465909091;NA;9.719101213483146;9.80347831304348;10.857692307692307;7.386666666666666;NA;13.620000000000001;12.085714285714285;13.731818181818182;12.154216867469879;10.797727272727274;8.48641975308642;NA;16.52173913043478;10.76986301369863;12.742574257425742;10.276712328767124;NA;13.742857142857144;10.421176470588234
