yy;anom
1971;-0.627718293872524
1972;-0.3455481479167933
1973;0.5829470770501789
1974;-1.6623721440126862
1975;0.4998514691674985
1976;0.9799695826178255
1977;0.5538762939560579
1978;0.3105268739188131
1979;0.8482051039378052
1980;-0.3298357250825965
1981;1.3699187343069714
1982;0.23325102770327344
1983;-0.9408579954960865
1984;-0.293886904595555
1985;-0.9261661308885706
1986;-0.3519077001319193
1987;1.0949810762246432
1988;-1.127620188579315
1989;-0.23297227279695862
1990;-0.7548911398717896
1991;0.6890944232404994
1992;0.7199364809357589
1993;-0.38707288884443153
1994;0.5002367710113146
1995;-0.9896173068086814
1996;0.09257733051043729
1997;-0.6799922481552597
1998;-0.09859694524616344
1999;-0.14295561121041897
2000;1.1657581558803554
2001;-1.178231555055726
2002;1.429928006159432
2003;-0.45351808133686133
2004;-0.2674799086881063
2005;-0.17814706111766593
2006;-1.2231977993566772
2007;-1.1222819951892644
2008;0.47859410455267387
2009;0.7646995482202842
2010;0.7553078044602776
2011;0.22678427177479793
2012;0.5308542593886916
2013;-0.17669523541398424
2014;1.191644835192584
2015;-0.6091143131995597
2016;-0.7207651304778717
2017;-0.16623150677479964
2018;-0.9542680818183369
2019;1.230943720831216
2020;0.5328797001222159
