yy;aeronautica_6709;aeronautica_6721;aeronautica_6729;aeronautica_6768;aeronautica_6769;bolzano_5;bolzano_23;bolzano_102;bolzano_150;bolzano_172;emiliaromagna_9573;emiliaromagna_14158;emiliaromagna_14246;emiliaromagna_14271;emiliaromagna_9177;emiliaromagna_9230;emiliaromagna_9578;friuliveneziagiulia_2;friuliveneziagiulia_7;friuliveneziagiulia_12;friuliveneziagiulia_14;friuliveneziagiulia_15;friuliveneziagiulia_21;friuliveneziagiulia_47;liguria_5884;liguria_14437;lombardia_6031;piemonte_5649;trentino_6510;trentino_6541;trentino_6638;trentino_6576;trentino_6598;trentino_6615;valledaosta_26;valledaosta_44;valledaosta_83;veneto_5677;veneto_5720;aeronautica_6771
1989;96.80000000000001;227.79999999999998;90.8;NA;242.2;87.9;212.6;78.2;120.4;61.7;276.8;211;201.6;179.4;281;518.4;266.2;926.3;101;150;253;68.6;329.2;293;263.2;264.8;363.8;NA;159.8;222;194.2;541.2;188.8;309.2;209.8;260;118.80000000000001;158.5;301.3;137.2
1990;79;131.2;476.2;150;48;185.4;128.2;249.4;166.1;87.3;196.6;154.6;240.2;108;119.6;638.2;185.6;698.6;373.9;106;546.1;340;580.6;444.2;0;382.6;428.6;64.6;177;228.4;212.8;183;243.6;251.8;219.8;143.60000000000002;253.9;170.20000000000002;242.6;45
1991;225.8;266.2;152;187.6;205.20000000000002;143.9;102.6;230.5;177.79999999999998;32.9;245.6;226;205.2;101;147;465.6;444;469.8;260.2;325;236.8;279.4;334.2;176.2;201.4;167.2;215.4;372;154.2;191.8;278.1;NA;125.2;44.6;295.6;821.2;149.4;38.8;189.1;205.1
1992;120.80000000000001;295.4;233.60000000000002;79.4;226.6;157.5;285.6;162.29999999999998;284.1;150.5;254.4;192.4;93.2;247.8;138.8;911.4;481.8;1008.2;391.8;NA;285.4;109;386;247.4;287;508.2;442.2;267.6;409.2;258.8;267;586.6;444.4;258.6;443;729.8;77;282.59999999999997;332.4;126.39999999999999
1993;182.6;291.6;121.8;NA;129.6;255.8;219.4;241.3;220;226.1;43.8;86.2;102.2;70.4;32;276.2;97.80000000000001;579.2;143.6;NA;521.8;192;130;365.2;302;542.8;475.6;842;146.8;NA;391.6;127.60000000000001;166.2;61;435;911.6;353.2;276.4;48.6;296
1994;312.8;401.2;82.4;159.1;189.4;103.4;103.6;104.6;156.3;113.4;570.4;279.6;154.6;167.39999999999998;49.6;637.2;187;552.4;NA;NA;349.8;268.8;161.4;362.8;170.2;230.4;244;NA;312;215.2;196.6;259.8;76.6;41.8;568.4;1025.8;484.6;156.8;126;273.6
1995;73.4;125.9;221.8;212.8;295.09999999999997;101.6;63.599999999999994;61;31.2;100.5;189.8;268.4;75.6;238;314.6;388.2;193.2;244.2;241.2;NA;418.4;410.8;189;147.8;263.2;315.1;495;325.2;112.6;175;87.80000000000001;326.6;40.8;73.4;330.8;456.6;276.6;85.6;161.4;204
1996;223.2;378.7;226;329.8;349.2;201.60000000000002;214;178.5;362.2;NA;303.6;299;261.4;218.4;267;633.8;349.6;908;502.8;524.1;221.6;480.8;930.8;782;246;450.1;583.8;369;242;250.6;175.6;242.4;250.2;NA;417.4;295;231.5;419.6;165.2;51.6
1997;131;206.6;152;230.2;164.8;177.6;245;141.2;280.6;NA;253.6;85.19999999999999;103.2;180.8;64.8;274.6;302.6;573.4;158;290.7;327.8;351.6;408.8;100.6;165.4;476.2;276.2;78.2;NA;88.4;268.6;178.79999999999998;213;NA;47.8;156.8;40.2;189.6;0;NA
1998;139.8;399.6;190.2;111.30000000000001;0;154.9;42;302.4;206.8;373.2;211.6;39.4;108;42.4;109.39999999999999;500.6;182.6;568.3;357;454.8;962.2;250.2;647.2;329.6;297;204.60000000000002;276.2;171.39999999999998;242;181.4;0;98.6;115.4;157;118.8;146.6;61.4;301.2;127.2;259.6
1999;371.1;288.4;NA;NA;124;174.6;267.4;142.79999999999998;313.6;215.4;477.20000000000005;263.2;127;141.8;165.6;628.2;358.8;741;197.8;NA;244.4;147.8;NA;368.2;263.6;599.6;263.4;438;303.2;224.8;336.2;417.4;142.8;NA;197.8;304;114;258.2;273.6;201.60000000000002
2000;430.2;176.6;363;79.19999999999999;0;346;263.1;257.2;462;131.6;332.6;69.8;91;146;33.4;696.6;146.60000000000002;1457.4;348.59999999999997;337.2;422.2;387;663.4;416.6;704.4;865.8;890;1031.8;194.8;363;545.4;519.2;292;168.8;735.4;1291;439.59999999999997;543.2;75.80000000000001;464.6
2001;40.2;175.4;257.8;85;214.6;185.7;67.6;197.6;247.2;106.6;246.8;188.2;117.19999999999999;116.8;121;297;284.8;355.7;202.39999999999998;169.7;345.6;138;680;189.8;53.6;310.2;500.8;90.2;126.6;252.6;207.4;84;35.2;39.4;39.2;70.2;75.6;162.4;NA;117
2002;355.1;267.2;303;167;161.6;200.2;483.7;165.6;226.3;102.4;443;198.6;104.4;233.8;177.2;657.4;366.4;2331.4;281.6;383.4;408.6;535.8;387;308.2;271;602.2;1019.4;793.4;627;317.4;770;590.1999999999999;NA;616.4;737.8;791.6;107.19999999999999;584.2;295.8;237.5
2003;140.4;39.6;226;43.8;66;33.2;154.8;67.6;149;71.8;409.2;201;98.2;89.80000000000001;160.2;515.6;201.4;713;212.4;189.9;342.4;281.4;317;489.8;135;NA;256.4;104.6;252;201.2;112.4;251;186.4;249.8;109.6;211.39999999999998;62.8;354.8;136.6;410.6
2004;125.4;232.2;366.8;69;31.4;38.8;157.1;104.2;97.4;39.2;482.4;344.8;160.2;279.8;346.8;560.8;215.8;NA;249;330.4;518.6;421.2;659;427.8;NA;NA;386.6;166.2;216;79.2;NA;127.2;NA;151.2;246.8;185.2;189;178;370.4;84
2005;217.2;245.9;340.8;335.8;NA;28;90.9;209.4;76.4;101.8;702.8;359;155;320.4;212.79999999999998;286.8;769;418.4;308.6;158.7;442.4;152.6;330.2;311.4;285.8;NA;NA;168;NA;182.6;48.2;426.2;140.8;163.8;114.6;153;91;146;497.8;239
2006;218.6;178.8;NA;75.2;165;0;92.3;102.2;113.2;99.4;118.2;135.2;110.6;59.2;186.2;334.2;55.4;408.8;416.2;105.3;123;187.4;373.2;245.6;464.6;305.8;181.8;338;119.19999999999999;72.4;NA;67.6;0;41.6;212.60000000000002;236.20000000000002;33.8;142.2;168.6;77
2007;77.2;204.5;39.9;0;76.5;76.4;65.2;269.8;130.4;113.4;92.4;151.4;107.8;33.2;150.8;59.6;NA;501.6;236;46;279.4;312;406.20000000000005;245.8;NA;247.6;287.2;217.2;NA;NA;85.4;NA;NA;99.2;256.8;155.39999999999998;70.6;337.6;127.8;0
2008;250.4;184.2;187.9;NA;133.9;241.1;259.8;313.40000000000003;268.3;167.6;426.6;268.8;190.2;0;283.2;1113.8;167.8;1069.4;446.9;574.6;473;570.1;551.8;762.8;227.8;422.8;542.2;316.4;NA;NA;NA;258.6;NA;354.8;495;327.2;435.4;414.8;196;43.2
