yy;mm;dd;aeronautica_6709;aeronautica_6721;aeronautica_6729;aeronautica_6768;aeronautica_6769;bolzano_5;bolzano_23;bolzano_102;bolzano_150;bolzano_172;emiliaromagna_9573;emiliaromagna_14158;emiliaromagna_14246;emiliaromagna_14271;emiliaromagna_9177;emiliaromagna_9230;emiliaromagna_9578;friuliveneziagiulia_2;friuliveneziagiulia_7;friuliveneziagiulia_12;friuliveneziagiulia_14;friuliveneziagiulia_15;friuliveneziagiulia_21;friuliveneziagiulia_47;liguria_5884;liguria_14437;lombardia_6031;piemonte_5649;trentino_6510;trentino_6541;trentino_6638;trentino_6576;trentino_6598;trentino_6615;valledaosta_26;valledaosta_44;valledaosta_83;veneto_5677;veneto_5720;aeronautica_6771
1971;1;23;0;0.4;0.2;0.2;0;0;NA;9.2;8.2;5.4;0.4;0;0;0;0.4;10;13.7;20.5;3.6;2.2;12.4;1.8;7;25;0.1;0;0;0;2.3;1;NA;20.6;NA;0;0;0;0;5.2;NA;0
1971;1;24;1;13.8;9.2;8;9.2;2.5;NA;1.7;1.7;0.8;0;0;0;0;0.2;6;0;1.5;1.4;0;0.2;0.8;1.6;0;60.2;20;17.2;0.4;6.2;0;NA;0;NA;0;1.8;0;11;0.4;NA;34.8
1971;1;25;1.6;8;0.6;0.2;0.4;0;NA;0.8;0;2.1;8;7;12.4;2.2;9.2;12;8.4;5.4;8.6;7.8;7.6;6.6;6.4;8;20.1;10;2.8;0;2.6;1.2;NA;0;NA;0;0;0;0;1.8;NA;21.2
1971;1;26;0;4.2;3;1;4;1;NA;1.4;0;0.4;9;15.4;11;5.4;2.8;20.6;12.6;4.2;2.8;1.3;0;0.2;1;0;36.1;51.2;11.6;0.4;4;0.8;NA;0;NA;0;16;0;20;1.6;NA;0
1971;1;27;0.6;5.4;6.2;0.1;0.1;1.3;NA;0;5.1;3.9;2.8;0;0.6;0.4;0;6.2;10.2;8.4;3.8;0;9.4;2.4;13.2;4;3.5;24.6;0;3.4;5;7.1;NA;22.3;NA;0;2;1.4;7;4;NA;3.2
1971;1;28;0;0.2;0.2;0;0;0.6;NA;3.8;0;0.5;1.4;0;1.6;0.8;2.6;8;5;3.9;6;7.9;19.6;8.4;12;20;0;0;0;0;0;0;NA;0;NA;3.4;3;0;6.6;1.2;NA;0
1971;1;29;0;0.2;0;0;0;0;NA;0;0;0;0;0.2;0.4;0.2;0.2;6;0;0;0.2;0;0;0;0.2;0;0;0;0;0;0;0;NA;0;NA;0;0;0;0;0;NA;0
1971;1;30;3.6;3.8;0;0.4;0;0;NA;0;0;0;0.8;1;0.8;1;0.4;4;0;0;0;0;0;0;0;0;0.8;4.4;0;0.8;0;0;NA;10.3;NA;0;2;0;10;0;NA;0
1971;1;31;19.6;4.6;7.8;0.4;0.8;2.4;NA;0;0;0;0.2;0.2;0;0;0;0;0;0;0;0;0.8;0.2;0.2;6;0.4;5.4;17.8;27.2;6.6;0;NA;22.2;NA;0;8;21;15;0;NA;15
1971;2;1;12.4;14;23.2;2.8;5;8;NA;7.9;6;11.9;13.8;6;6.4;2.8;1.8;34;8;100;40.2;16.1;21.6;30.6;39;48;33.1;25;15;44.4;5.5;3.2;NA;9.6;NA;0;48;62.2;0;30.5;NA;23.4
