yy;aeronautica_6709;aeronautica_6721;aeronautica_6729;aeronautica_6768;aeronautica_6769;bolzano_5;bolzano_23;bolzano_102;bolzano_150;bolzano_172;emiliaromagna_9573;emiliaromagna_14158;emiliaromagna_14246;emiliaromagna_14271;emiliaromagna_9177;emiliaromagna_9230;emiliaromagna_9578;friuliveneziagiulia_2;friuliveneziagiulia_7;friuliveneziagiulia_12;friuliveneziagiulia_14;friuliveneziagiulia_15;friuliveneziagiulia_21;friuliveneziagiulia_47;liguria_5884;liguria_14437;lombardia_6031;piemonte_5649;trentino_6510;trentino_6541;trentino_6638;trentino_6576;trentino_6598;trentino_6615;valledaosta_26;valledaosta_44;valledaosta_83;veneto_5677;veneto_5720;aeronautica_6771
1971;8.103448275862068;-6.392857142857142;3.2962962962962976;-5.640000000000001;-5.600000000000001;-6.699999999999999;NA;-6.633333333333333;-13.93333333333333;-4.214285714285715;-11.206896551724135;-4.966666666666665;-5.241379310344829;-5.793103448275861;2.379310344827587;5;-4.233333333333334;0.93333333333333;0.4230769230769198;6.560000000000002;-2.56666666666667;-1.6333333333333329;6.571428571428569;-0.5;3.379310344827587;1.3200000000000003;6.625;0.03703703703703809;-8.448275862068968;-4.517241379310345;NA;0.8965517241379288;NA;-7.518518518518519;-2.0666666666666664;0.8333333333333357;-0.8666666666666671;2.3076923076923066;NA;3.814814814814813
1972;16.103448275862068;-0.39285714285714235;3.2962962962962976;13.36;7.399999999999999;-4.699999999999999;-5.448275862068964;-0.6333333333333329;-3.93333333333333;0.7857142857142847;12.793103448275865;16.033333333333335;7.758620689655171;16.20689655172414;19.379310344827587;13;15.766666666666666;9.93333333333333;6.42307692307692;5.560000000000002;10.43333333333333;3.366666666666667;4.571428571428569;7.5;8.379310344827587;15.32;16.625;4.037037037037038;0.551724137931032;-6.517241379310345;NA;8.896551724137929;NA;-0.518518518518519;0.9333333333333336;7.833333333333336;7.133333333333333;1.3076923076923066;9.875;6.814814814814813
1973;2.1034482758620676;-2.3928571428571423;-7.703703703703702;2.3599999999999994;6.399999999999999;0.3000000000000007;-1.4482758620689644;-4.633333333333333;-6.93333333333333;-2.2142857142857153;-0.20689655172413524;2.033333333333335;-3.241379310344829;10.206896551724139;8.379310344827587;-1;5.766666666666666;-0.06666666666666998;-4.57692307692308;-8.439999999999998;-9.56666666666667;-6.633333333333333;-9.42857142857143;-2.5;-0.6206896551724128;-3.6799999999999997;-5.375;0.03703703703703809;2.551724137931032;-2.517241379310345;-5.285714285714285;1.8965517241379288;NA;-1.518518518518519;-4.066666666666666;-4.166666666666664;0.13333333333333286;3.3076923076923066;NA;-10.185185185185187
1974;2.1034482758620676;NA;-2.7037037037037024;-5.640000000000001;-0.6000000000000014;-7.699999999999999;-7.448275862068964;2.366666666666667;-2.93333333333333;-4.214285714285715;NA;-1.966666666666665;-2.241379310344829;1.2068965517241388;-4.620689655172413;9;-5.233333333333334;-6.06666666666667;3.42307692307692;-4.439999999999998;-2.56666666666667;-7.633333333333333;2.5714285714285694;2.5;-0.6206896551724128;-2.6799999999999997;-7.375;-4.962962962962962;-7.448275862068968;-8.517241379310345;-8.285714285714285;0.8965517241379288;NA;-7.518518518518519;-6.066666666666666;-4.166666666666664;0.13333333333333286;-11.692307692307693;NA;4.814814814814813
1975;6.103448275862068;15.607142857142858;4.296296296296298;-2.6400000000000006;-2.6000000000000014;2.3000000000000007;4.551724137931036;0.36666666666666714;-0.93333333333333;6.785714285714285;-2.2068965517241352;7.033333333333335;4.758620689655171;NA;3.379310344827587;13;-9.233333333333334;5.93333333333333;4.42307692307692;5.560000000000002;6.43333333333333;2.366666666666667;11.57142857142857;4.5;3.379310344827587;9.32;8.625;13.037037037037038;0.551724137931032;5.482758620689655;10.714285714285715;5.896551724137929;8.307692307692307;2.481481481481481;-3.0666666666666664;9.833333333333336;13.133333333333333;7.307692307692307;NA;3.814814814814813
1976;3.1034482758620676;4.607142857142858;NA;6.359999999999999;10.399999999999999;-0.6999999999999993;7.551724137931036;-5.633333333333333;-3.93333333333333;-1.2142857142857153;13.793103448275865;6.033333333333335;3.758620689655171;6.206896551724139;0.3793103448275872;17;21.766666666666666;0.93333333333333;3.42307692307692;8.560000000000002;4.43333333333333;2.366666666666667;NA;-0.5;1.3793103448275872;2.3200000000000003;1.625;9.037037037037038;7.551724137931032;5.482758620689655;12.714285714285715;4.896551724137929;4.307692307692307;-1.518518518518519;4.933333333333334;9.833333333333336;2.133333333333333;1.3076923076923066;NA;-1.185185185185187
1977;11.103448275862068;7.607142857142858;6.296296296296298;-3.6400000000000006;-5.600000000000001;6.300000000000001;8.551724137931036;4.366666666666667;7.06666666666667;8.785714285714285;-4.206896551724135;-4.966666666666665;0.7586206896551708;-3.793103448275861;2.379310344827587;NA;-5.233333333333334;9.93333333333333;4.42307692307692;2.5600000000000023;2.43333333333333;0.36666666666666714;4.571428571428569;5.5;15.379310344827587;NA;NA;18.037037037037038;10.551724137931032;11.482758620689655;16.714285714285715;12.896551724137929;14.307692307692307;17.48148148148148;4.933333333333334;12.833333333333336;6.133333333333333;11.307692307692307;3.875;9.814814814814813
1978;3.1034482758620676;4.607142857142858;7.296296296296298;5.359999999999999;8.399999999999999;-1.6999999999999993;2.5517241379310356;-3.633333333333333;-4.93333333333333;-4.214285714285715;2.7931034482758648;3.033333333333335;6.758620689655171;1.2068965517241388;7.379310344827587;NA;11.766666666666666;9.93333333333333;5.42307692307692;6.560000000000002;13.43333333333333;2.366666666666667;5.571428571428569;9.5;-0.6206896551724128;6.32;NA;-1.962962962962962;6.551724137931032;6.482758620689655;-3.2857142857142847;10.896551724137929;-6.692307692307693;6.481481481481481;-5.066666666666666;-4.166666666666664;10.133333333333333;3.3076923076923066;NA;6.814814814814813
1979;-3.8965517241379324;-3.3928571428571423;10.296296296296298;6.359999999999999;-1.6000000000000014;3.3000000000000007;12.551724137931036;7.366666666666667;9.06666666666667;13.785714285714285;2.7931034482758648;-2.966666666666665;2.758620689655171;2.206896551724139;1.3793103448275872;NA;6.766666666666666;15.93333333333333;11.42307692307692;9.560000000000002;10.43333333333333;9.366666666666667;16.57142857142857;9.5;4.379310344827587;16.32;NA;1.037037037037038;5.551724137931032;7.482758620689655;16.714285714285715;3.896551724137929;-0.6923076923076934;6.481481481481481;0.9333333333333336;-1.1666666666666643;6.133333333333333;8.307692307692307;5.875;7.814814814814813
1980;-4.896551724137932;-1.3928571428571423;-0.7037037037037024;9.36;7.399999999999999;-4.699999999999999;-7.448275862068964;-1.6333333333333329;-9.93333333333333;-2.2142857142857153;3.7931034482758648;1.033333333333335;2.758620689655171;4.206896551724139;0.3793103448275872;5;11.766666666666666;1.93333333333333;0.4230769230769198;-4.439999999999998;0.43333333333333;3.366666666666667;-3.4285714285714306;-1.5;-4.620689655172413;-12.68;-9.375;-12.962962962962962;-4.448275862068968;-8.517241379310345;-9.285714285714285;-4.103448275862071;-10.692307692307693;-5.518518518518519;-9.066666666666666;-8.166666666666664;-0.8666666666666671;-4.692307692307693;0.875;-5.185185185185187
