yy;aeronautica_6709;aeronautica_6721;aeronautica_6729;aeronautica_6768;aeronautica_6769;bolzano_5;bolzano_23;bolzano_102;bolzano_150;bolzano_172;emiliaromagna_9573;emiliaromagna_14158;emiliaromagna_14246;emiliaromagna_14271;emiliaromagna_9177;emiliaromagna_9230;emiliaromagna_9578;friuliveneziagiulia_2;friuliveneziagiulia_7;friuliveneziagiulia_12;friuliveneziagiulia_14;friuliveneziagiulia_15;friuliveneziagiulia_21;friuliveneziagiulia_47;liguria_5884;liguria_14437;lombardia_6031;piemonte_5649;trentino_6510;trentino_6541;trentino_6638;trentino_6576;trentino_6598;trentino_6615;valledaosta_26;valledaosta_44;valledaosta_83;veneto_5677;veneto_5720;aeronautica_6771
2004;25;27;35;11;11;16;21;30;29;23;49;36;26;31;30;54;40;NA;41;40;50;45;62;44;NA;NA;48;33;40;22;NA;48;NA;31;25;29;22;34;33;15
2005;19;31;27;21;NA;15;18;33;27;18;47;34;24;32;22;45;53;42;36;37;41;43;43;43;15;NA;NA;30;NA;27;28;31;23;24;29;21;15;32;28;15
2006;16;21;NA;17;21;17;22;27;37;21;25;24;13;18;19;43;22;39;29;32;29;25;46;36;19;39;29;26;25;21;NA;33;21;23;36;21;26;28;22;12
2007;20;18;22;19;16;18;19;24;30;17;27;24;10;17;21;47;NA;40;31;29;32;33;47;38;NA;30;25;28;NA;NA;38;NA;NA;25;32;24;30;32;20;6
2008;31;39;35;NA;18;29;32;41;50;35;30;26;21;19;22;50;33;59;47;52;63;52;74;63;36;48;63;52;NA;NA;NA;52;NA;47;44;45;41;42;34;24
2009;25;34;29;NA;24;23;26;26;33;26;39;33;18;17;17;66;28;58;49;43;52;40;59;47;30;NA;53;35;NA;26;50;38;36;36;30;35;25;30;28;24
2010;33;43;48;22;27;19;30;28;44;24;47;31;24;26;32;70;32;72;55;57;68;54;77;55;NA;62;56;42;48;29;NA;NA;50;39;30;36;23;33;41;21
2011;26;27;26;13;17;16;20;30;32;20;28;21;NA;14;13;44;20;52;29;25;38;30;49;40;NA;37;28;27;NA;25;45;35;29;25;30;28;25;21;17;16
2012;22;26;NA;17;24;23;32;40;42;18;35;NA;17;22;15;45;30;60;36;37;47;49;62;49;NA;45;45;38;34;40;46;47;33;36;31;34;24;41;21;24
2013;30;NA;38;18;14;16;24;34;42;23;39;34;25;38;30;58;30;62;49;55;60;53;58;59;33;66;52;41;43;39;43;52;38;40;41;44;34;38;35;31
2014;27;NA;53;26;28;19;29;28;43;33;49;NA;NA;27;22;63;42;68;65;68;70;63;80;64;40;70;67;51;54;45;72;69;51;48;38;46;26;55;48;33
2015;22;NA;19;26;27;21;19;28;26;23;38;NA;18;29;19;50;34;37;27;29;29;30;43;37;17;31;32;38;21;29;41;33;18;22;31;28;32;22;22;9
2016;22;NA;35;21;21;24;27;31;36;32;30;29;30;25;29;51;28;53;42;52;54;41;52;51;25;37;50;35;33;35;39;37;35;27;31;32;27;33;30;9
2017;8;18;32;17;17;28;23;24;37;25;30;21;14;22;23;43;NA;40;38;33;46;41;51;43;14;31;32;NA;30;27;33;38;34;30;26;23;23;31;16;9
2018;NA;NA;NA;NA;NA;20;NA;31;30;27;40;32;23;28;24;58;NA;52;35;33;37;35;61;38;32;42;47;49;40;31;36;40;28;26;41;44;33;36;26;NA
2019;20;26;41;22;23;32;NA;21;45;34;49;20;NA;26;25;74;NA;55;46;44;52;41;59;58;33;58;45;43;47;40;56;56;40;37;36;38;NA;50;35;14
2020;15;22;25;NA;14;24;25;30;NA;33;36;16;20;14;17;50;36;54;42;43;60;41;54;57;26;45;30;22;33;39;40;45;26;33;NA;19;25;41;24;15
